s,t,pr_s1,q1,q2,q3
1.0,1.0,0.38907990107921636,0.937737977500182,0.06226202249981802,0.0
6.0,1.0,0.3435071572907676,0.22950172573746708,0.7271372661620316,0.04336100810050139
26.0,1.0,0.26741294163001605,0.0,0.2411221832104532,0.7588778167895468
1.0,3.0,0.4366710927945725,0.8357744947958479,0.16370398139843095,0.0005215238057212623
6.0,3.0,0.3939419357127661,0.47423878358786975,0.4551455855166962,0.07061563089543435
26.0,3.0,0.16938697149266144,0.0,0.5629762402231713,0.4370237597768287
1.0,5.0,0.43470094025104383,0.7447777308238436,0.2544037350750625,0.0008185341010941933
6.0,5.0,0.45947828668519647,0.5593250899292882,0.37651442609114594,0.0641604839795662
26.0,5.0,0.10582077306375982,0.0,0.747516698889381,0.25248330111061906
1.0,10.0,0.3596440208979863,0.5574870360624579,0.4412512590412656,0.0012617048962767382
6.0,10.0,0.6084541817626359,0.5214450266315009,0.4496127369709106,0.028942236397588632
26.0,10.0,0.03190179733937794,0.0,0.9344985492757315,0.06550145072426841
1.0,30.0,0.11598538105621083,0.17437546472490714,0.8232860253316124,0.0023385099434805184
6.0,30.0,0.8809992123823779,0.17358067844372535,0.8233255237146941,0.0030937978415802444
26.0,30.0,0.0030154065614111177,0.0,0.996386088100827,0.0036139118991725923
1.0,100.0,0.00198305531754471,0.0029810528558066075,0.9941033031168729,0.002915644027319115
6.0,100.0,0.9947047198493567,0.0029681130968275235,0.9934316075824456,0.0036002793207251527
26.0,100.0,0.003312224833096788,0.0,0.9965792488487519,0.0034207511512460965
