s,t,pr_s1,q1,q2,q3
1.0,1.0,0.19633518298382047,0.5890055489514614,0.41099445104853866,0.0
6.0,1.0,0.3919947297638797,0.0,0.7649897382431003,0.23501026175689965
26.0,1.0,0.41167008725229987,0.0,0.0,1.0
1.0,3.0,0.06824039032643908,0.20472117097931725,0.5808716886417296,0.2144071403789532
6.0,3.0,0.34282600637861355,0.0,0.447606330494111,0.5523936695058891
26.0,3.0,0.5889336032949474,0.0,0.0,1.0
1.0,5.0,0.023738463310494035,0.0712153899314821,0.46851667100556094,0.4602679390629571
6.0,5.0,0.2434613448591868,0.0,0.2618673635719994,0.7381326364280006
26.0,5.0,0.7328001918303193,0.0,0.0,1.0
1.0,10.0,0.0016953504190418461,0.005086051257125538,0.1693850398993107,0.825528908843564
6.0,10.0,0.07930836512719944,0.0,0.06854005548228764,0.9314599445177125
26.0,10.0,0.9189962844537587,0.0,0.0,0.9999999999999999
1.0,30.0,4.41210325360279e-8,1.323630976080837e-7,0.0013665770838909184,0.9986332905530115
6.0,30.0,0.0005626950670886908,0.0,0.00032150811737515406,0.999678491882625
26.0,30.0,0.9994372608118788,0.0,0.0,1.0
1.0,100.0,3.967350104323096e-24,1.1902050312969289e-23,9.177808562589106e-11,0.9999999999082221
6.0,100.0,3.135021317972574e-11,0.0,2.2725539132861607e-12,0.9999999999977276
26.0,100.0,0.9999999999686499,0.0,0.0,1.0
