s,t,pr_s1,q1,q2,q3
1.0,1.0,0.21118179251006666,0.6335453775302,0.3664546224698001,0.0
6.0,1.0,0.3875154835036949,0.0,0.7960918280412845,0.2039081719587154
26.0,1.0,0.4013027239862384,0.0,0.0,1.0
1.0,3.0,0.08481934073024422,0.25445802219073266,0.5675936579187145,0.1779483198905529
6.0,3.0,0.3573471018734978,0.0,0.5044476477017789,0.4955523522982211
26.0,3.0,0.557833557396258,0.0,0.0,1.0
1.0,5.0,0.03408440339084343,0.1022532101725303,0.497393404988835,0.4003533848386348
6.0,5.0,0.272328702073623,0.0,0.31959270123203387,0.680407298767966
26.0,5.0,0.6935868945355336,0.0,0.0,1.0
1.0,10.0,0.003491798395811667,0.010475395187435,0.21451622788278407,0.7750083769297811
6.0,10.0,0.10552654583069122,0.0,0.10206340960928961,0.8979365903907104
26.0,10.0,0.8909816557734972,0.0,0.0,0.9999999999999999
1.0,30.0,3.849759862328979e-7,1.1549279586986937e-6,0.002798077416397636,0.9972007676556437
6.0,30.0,0.0012861038623474198,0.0,0.0010602341706446236,0.9989397658293553
26.0,30.0,0.9987135111616664,0.0,0.0,1.0
1.0,100.0,5.417593585905217e-21,1.625278075771565e-20,5.478274563638036e-10,0.9999999994521727
6.0,100.0,2.2296808120509135e-10,0.0,1.2107678725147048e-10,0.9999999998789232
26.0,100.0,0.9999999997770321,0.0,0.0,1.0
