s,t,pr_s1,q1,q2,q3
1.0,1.0,0.3903245425613269,0.9397771300506551,0.06022286994934495,0.0
6.0,1.0,0.344063332047521,0.2311964976333256,0.7271067303413741,0.04169677202530036
26.0,1.0,0.26561212539115214,0.0,0.2448603958518438,0.7551396041481562
1.0,3.0,0.438008990064837,0.8416854852523008,0.15783134712033725,0.00048316762736213815
6.0,3.0,0.3940299218228734,0.4723414849422103,0.45888716314104827,0.06877135191674154
26.0,3.0,0.1679610881122896,0.0,0.5653712552072349,0.43462874479276503
1.0,5.0,0.43596429896939143,0.7537766418154507,0.24552017214162294,0.0007031860429267362
6.0,5.0,0.4571295605959902,0.5541162550927236,0.38089153392690617,0.06499221098037031
26.0,5.0,0.10690614043461853,0.0,0.7449769757194414,0.2550230242805585
1.0,10.0,0.3619512605733932,0.5710791712830411,0.4279574412977907,0.000963387419168788
6.0,10.0,0.5975762738880964,0.5147746104371386,0.4446943213839208,0.040531068178940755
26.0,10.0,0.04047246553851061,0.0,0.9200770589825777,0.07992294101742231
1.0,30.0,0.12181654215928066,0.1873697331117668,0.8107242847310622,0.001905982157172304
6.0,30.0,0.8566995051941889,0.1780798933660752,0.7858672126423483,0.036052893991577406
26.0,30.0,0.021483952646531457,0.0,0.9735070182091561,0.02649298179084466
1.0,100.0,0.002461742072700361,0.0037862209656315594,0.9928913974115989,0.003322381622773465
6.0,100.0,0.9727589653132899,0.003599005252469524,0.9525714990362952,0.04382949571123882
26.0,100.0,0.024779292614013432,0.0,0.9728139994919753,0.027186000508027993
