s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7
1.0,1.0,0.14251948046614307,0.845151946405359,0.09566479168562035,0.058803247336650946,0.00038001457236971507,0.0,0.0,0.0
6.0,1.0,0.1975227823567939,0.0,0.9960430025694681,0.0,0.003956997430531886,0.0,0.0,0.0
11.0,1.0,0.19840619028742038,0.1524844168576426,0.05808939728517397,0.5155287153192016,0.2352991636448473,0.011438280601016442,0.0271600262921179,0.0
26.0,1.0,0.26587264522813137,0.0,0.2328622849572947,0.012083402989115869,0.7421887357332582,0.0,0.012865576320331248,0.0
61.0,1.0,0.023066102976963983,0.0,0.0,0.4749755597622686,0.24412366714349587,0.15002444023773143,0.13087633285650413,0.0
76.0,1.0,0.09125249394590365,0.0,0.0,0.32745240660470576,0.13515993807241652,0.0,0.4678655221523723,0.06952213317050551
101.0,1.0,0.08136030473864364,0.0,0.0,0.0,0.5,0.0,0.0,0.5
1.0,3.0,0.15372488348755745,0.6105166722575435,0.2491073977407609,0.11383431660395743,0.02645724995097606,3.877181785560498e-5,4.214222673058509e-5,3.4494021759282498e-6
6.0,3.0,0.35580465981149867,1.0498063709207315e-6,0.9904775531084833,1.3540313256880316e-5,0.009497120005969646,7.920268425114556e-8,1.0642605029104393e-5,1.4958205507823883e-8
11.0,3.0,0.16432124546536434,0.26934302227365,0.20283811932236095,0.2885750147275984,0.21458817499653515,0.006882275721218964,0.015755086535029383,0.0020183064236071056
26.0,3.0,0.2738398136541014,0.006150243509221453,0.5330640609109671,0.023412681316542155,0.42669350710096465,0.000334747308692846,0.010285029879632443,5.9729973979256856e-5
61.0,3.0,0.0028667482528847133,0.12989056539160487,0.15881010609234453,0.3454473286460971,0.3348028945130965,0.009828557788084788,0.021205782302298203,1.4765266474029988e-5
76.0,3.0,0.02410738514999836,0.059561322919048594,0.10846542052728073,0.3725421503659696,0.28919633310992426,0.002936690716431367,0.1167358633993814,0.050562218961964195
101.0,3.0,0.02533526417859508,0.0006113082554627537,0.24786996097829297,0.00642368628412863,0.6156434159012435,4.61152152251692e-5,0.0047171491018873956,0.12468836426375954
1.0,5.0,0.1417885013889512,0.4410555449032353,0.3766139608775096,0.12558645358654513,0.05665584922314196,3.9172532409775274e-5,4.630036215079925e-5,2.718515007652256e-6
6.0,5.0,0.5039072590626059,7.911636051123369e-6,0.9870168536000392,3.3483988109588086e-5,0.0129228560054338,4.06639829192079e-7,1.8476154748043783e-5,1.1975788370756439e-8
11.0,5.0,0.11655827830587641,0.27107741740166164,0.34648875896176534,0.1853512105031624,0.1806499802029624,0.0036458551227424867,0.011758305791275674,0.001028472016430191
26.0,5.0,0.21968368619481796,0.013076416765753171,0.7038567947300047,0.022746645131788493,0.2534830266389038,0.00043495938091111586,0.006371729212661371,3.0428139977126062e-5
61.0,5.0,0.001493440065320501,0.17272260109340276,0.3411635166074207,0.20582449617787418,0.27074494757940365,0.003880155272657379,0.005657393174180026,6.890095061389434e-6
76.0,5.0,0.008917868758616177,0.09115552397482608,0.27489162947410284,0.26584224772230863,0.3107285074450481,0.0022906324811229374,0.03395719082400768,0.02113426807858386
101.0,5.0,0.007650966223811761,0.0034240939477283507,0.49731929918739903,0.010523411031346578,0.4526006362688321,0.00016289902757062193,0.004615685791289648,0.031353974745833735
1.0,10.0,0.08391386924717004,0.19574698528841508,0.6224918138703717,0.0912040854573667,0.09046968806365237,2.920929594404099e-5,5.796519898563188e-5,2.528252648381113e-7
6.0,10.0,0.7451567580880709,4.2352149299815624e-5,0.9830158614449118,7.33894418803248e-5,0.016839235958927865,1.2675441673207527e-6,2.789231342868197e-5,1.1473834536215221e-9
11.0,10.0,0.05305157701131492,0.16648925390520355,0.6188373483816044,0.08726080216000995,0.11691915678191867,0.0013259116490877132,0.009082168434956918,8.535868721880063e-5
26.0,10.0,0.11385577343066264,0.01703939878689277,0.8847785034810909,0.013012806465043346,0.08243754971424153,0.0002905526395680312,0.0024383017491153734,2.887164047929776e-6
61.0,10.0,0.0005046720750697929,0.12369372234324484,0.6554419643378896,0.07756919741822124,0.14017746728692726,0.000985267276875961,0.002128922974733321,3.458362107903339e-6
76.0,10.0,0.00310593775001326,0.07584858510040866,0.6282714250015143,0.09382751401611536,0.19382242924003243,0.0007075891801461176,0.006017050060867769,0.0015054074009151833
101.0,10.0,0.0004114123976983949,0.008536787156725654,0.8232603900991133,0.00841324412056748,0.15632488696893834,0.00019290693969936575,0.001989263518005126,0.0012825211969506557
1.0,30.0,0.004221915996311761,0.007741243482398785,0.9564097896029893,0.0057036344917878795,0.030074452504334034,8.337925600068306e-6,6.251908150791967e-5,2.29113827311466e-8
6.0,30.0,0.9644749700637673,0.00011088855115573565,0.9811467755454932,0.00011707522418008304,0.01858044015270547,2.959127698637685e-6,4.1861267548274935e-5,1.3121777346267992e-10
11.0,30.0,0.003060641195084933,0.0082999285211993,0.9428914410897619,0.005904984813901971,0.031248469996680763,0.0010375313460154157,0.010604763627106654,1.2880605334138108e-5
26.0,30.0,0.025112829314796057,0.0016005768512706543,0.9748938773180388,0.0010944294997549445,0.020655402855177925,0.00016788364029837418,0.0015870396810878224,7.901543710671428e-7
61.0,30.0,0.0002953326534537985,0.006327642930191563,0.9595082147106125,0.004498922761772588,0.02771050327092506,0.0004594084692712791,0.0014919610770543097,3.346780172948948e-6
76.0,30.0,0.0027597734592709616,0.0043064267537762145,0.9606486450882851,0.0033124107832404005,0.0267802986714366,0.000282852320611742,0.004483546536458807,0.0001858198461909049
101.0,30.0,7.45373173152017e-5,0.0011667048841900768,0.9758260470911899,0.0007930307909566642,0.020740237752312537,0.00010835574468107288,0.0010467229441329443,0.00031890079253684816
1.0,100.0,0.00011509145880047561,0.0001155395529973595,0.9810326951182416,0.00012028319474611053,0.01860341329402989,1.2286152365306882e-5,0.00011575977707159332,2.2910548519012286e-8
6.0,100.0,0.9775676295523198,0.0001154507223214397,0.9810589239452211,0.00012021443065299414,0.018603404129512804,8.399740376496538e-6,9.36069007003486e-5,1.3121406780601775e-10
