s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7
1.0,1.0,0.09554573783395993,0.6688201648377196,0.12311014568120679,0.17874752105001965,0.02932216843105399,0.0,0.0,0.0
6.0,1.0,0.1329694258259706,0.0,0.8076758351005875,0.0,0.19232416489941262,0.0,0.0,0.0
11.0,1.0,0.11817662964627633,0.0,0.0,0.6484888864739148,0.22474209997197586,0.09463672519861457,0.03213228835549494,0.0
31.0,1.0,0.18875804747615252,0.0,0.0,0.0,0.8749178990306252,0.0,0.12508210096937478,0.0
61.0,1.0,0.13231898059283037,0.0,0.0,0.0,0.0,0.8315961389511979,0.1684038610488022,0.0
76.0,1.0,0.18552551601172834,0.0,0.0,0.0,0.0,0.0,0.9730603617084264,0.026939638291573663
101.0,1.0,0.14670566261308196,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,0.04273023775581304,0.2991116642906913,0.20206337338284772,0.23210075083147538,0.1988962410318179,0.03506744374863906,0.03251331436847744,0.00024721234605123836
6.0,3.0,0.10415311855992924,0.0,0.5270084565366571,0.0,0.4103678739133265,0.0,0.06199914141605715,0.000624528133959399
11.0,3.0,0.07208470709628005,0.0,0.0,0.2724921988424851,0.3940810237995224,0.15646902685235645,0.17351578092555806,0.0034419695800783075
31.0,3.0,0.2389878773216474,0.0,0.0,0.0,0.6695700025068648,0.0,0.3208777146590281,0.009552282834107143
61.0,3.0,0.1096475949064284,0.0,0.0,0.0,0.0,0.5759966937440033,0.41135129452707675,0.012652011728920104
76.0,3.0,0.27454892964014077,0.0,0.0,0.0,0.0,0.0,0.9215852615847879,0.07841473841521245
101.0,3.0,0.1578475347197612,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,5.0,0.019106039878574278,0.13374227915001993,0.18637954597964687,0.16735888370371274,0.33357495562924744,0.06051795022962578,0.11546524846172465,0.002961136846022745
6.0,5.0,0.07575942426476859,0.0,0.3439364238737332,0.0,0.48773713520196915,0.0,0.16310690862669747,0.005219532297600443
11.0,5.0,0.04025105427124713,0.0,0.0,0.11439849619501713,0.3948477082287508,0.14675852210485246,0.3291509130678952,0.014844360403484812
31.0,5.0,0.24692133388003792,0.0,0.0,0.0,0.5122895381002979,0.0,0.45901378531287207,0.028696676586830137
61.0,5.0,0.08669534841254244,0.0,0.0,0.0,0.0,0.3995909665533189,0.5635189701319177,0.036890063314763855
76.0,5.0,0.3576160884923354,0.0,0.0,0.0,0.0,0.0,0.8730567938452413,0.1269432061547589
101.0,5.0,0.1736507108004944,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
1.0,10.0,0.002553087272836449,0.017871610909855142,0.08912723370366293,0.04120688507286032,0.37872691440151285,0.05597659857158178,0.38428317119905475,0.03280758614147222
6.0,10.0,0.02964252500267196,0.0,0.11837044131504079,0.0,0.4234427415525793,0.0,0.41706479125494406,0.04112202587743606
11.0,10.0,0.007747778239302725,0.0,0.0,0.013027562602258756,0.24712255420628784,0.07586084877476941,0.5893077770592656,0.07468125735741882
31.0,10.0,0.18734459182820024,0.0,0.0,0.0,0.26211993263702166,0.0,0.636684198072046,0.10119586929093258
61.0,10.0,0.04180879840586387,0.0,0.0,0.0,0.0,0.16082414149469593,0.716737256550075,0.12243860195522949
76.0,10.0,0.5010217684650716,0.0,0.0,0.0,0.0,0.0,0.7630751851201165,0.2369248148798837
101.0,10.0,0.22988145078605324,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,30.0,8.131629472246165e-7,5.692140630572315e-6,0.0014684326967967576,2.899419237973967e-5,0.049477062812083465,0.002243438883187413,0.6035767127799451,0.34319966649497724
6.0,30.0,0.0004470928164435305,0.0,0.0016612170183079565,0.0,0.05180846970807218,0.0,0.5943140706890301,0.35221624258459017
11.0,30.0,4.449846078674408e-6,0.0,0.0,2.1547301709811884e-6,0.017730599506480996,0.002189410963883822,0.56519952903769,0.41487830576177476
31.0,30.0,0.01955724370228428,0.0,0.0,0.0,0.017884573889353363,0.0,0.543595584939138,0.4385198411715089
61.0,30.0,0.0012437384740394111,0.0,0.0,0.0,0.0,0.004273319471204641,0.5257077450659436,0.470018935462852
76.0,30.0,0.46834479176112326,0.0,0.0,0.0,0.0,0.0,0.44601989981611606,0.5539801001838842
101.0,30.0,0.5104018702370839,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
1.0,100.0,4.687653770174791e-19,3.2813576391223538e-18,4.824963974316226e-10,2.5121017574705846e-17,6.746324632135166e-6,6.941629595660964e-9,0.1025987980140419,0.8973944482371996
6.0,100.0,1.4663789817494574e-10,0.0,5.439688897929976e-10,0.0,7.096348998545615e-6,0.0,0.10126780084069256,0.8987251022663401
11.0,100.0,3.6063284139111216e-18,0.0,0.0,1.2328132267200546e-19,1.4581185091392742e-6,6.727667461491573e-9,0.09015464946127345,0.9098438856925501
31.0,100.0,2.395940071276811e-6,0.0,0.0,0.0,1.4707883591176238e-6,0.0,0.08648624338464127,0.9135122858269996
61.0,100.0,3.827701839569793e-9,0.0,0.0,0.0,0.0,1.3124615819836014e-8,0.08107225139355302,0.9189277354818313
76.0,100.0,0.07567198625519952,0.0,0.0,0.0,0.0,0.0,0.0681241606921944,0.9318758393078057
101.0,100.0,0.9243256138303897,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
