baseline a50g0s30: dist=0.09974882257318463
baseline a60g0s30: dist=0.022206313969497238
nomergers a20g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.3, 0.3, 5.0, 1.0]
nomergers a30g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.4, 0.3, 5.0, 1.0]
nomergers a40g0s100: state=[4, 3, 1, 0, 0, 0],  prices=[0.4, 0.3, 25.0, 1.0]
nomergers a50g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.6, 0.5, 5.0, 1.0]
nomergers a60g0s100: state=[4, 3, 1, 0, 0, 0],  prices=[0.6, 0.5, 25.0, 1.0]
nomergers a70g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
nomergers a80g0s100: state=[2, 0, 1, 0, 0, 0],  prices=[2.4, 1.0, 8.9, 1.0]
nomergers a90g0s100: state=[2, 0, 1, 0, 0, 0],  prices=[2.5, 1.0, 8.9, 1.0]
nomergers a100g0s100: state=[5, 2, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
nobundling a0g0s80: state=[1, 1, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nobundling a10g0s80: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nobundling a0g0s90: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
nobundling a10g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nobundling a20g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.3, 0.3, 5.0, 1.0]
nobundling a30g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.4, 0.4, 5.0, 1.0]
nobundling a40g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.5, 0.4, 5.0, 1.0]
nobundling a0g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
nobundling a10g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
