s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
1.0,1.0,0.06272552864481708,0.6899808150929878,0.24073965633856154,0.0,0.06001918490701227,0.009260343661438462,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.10242888140888541,0.0,0.8303970738012576,0.13381926643147954,0.0,0.03194223334787066,0.0038414264193921245,0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.11231509321317729,0.0,0.0,0.9720949652377999,0.0,0.0,0.027905034762200097,0.0,0.0,0.0,0.0,0.0
4.0,1.0,0.04807448859198691,0.0,0.025401972521629446,0.0,0.4688001896048437,0.4434148074736385,0.0,0.031199810395156274,0.031183220004732087,0.0,0.0,0.0
6.0,1.0,0.09194722525266887,0.0,0.03017899283629098,0.03740782310452361,0.0,0.52680209329641,0.35344643150831584,0.0,0.0370474447342221,0.0,0.015117214520237444,0.0
8.0,1.0,0.11416470789346796,0.0,0.0,0.09214397057114716,0.0,0.0,0.8706188941382395,0.0,0.0,0.0,0.037237135290613343,0.0
10.0,1.0,0.09374543730865058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11.0,1.0,0.0971118786126322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,1.0,0.09566857725553189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,0.029861963541744817,0.328481598959193,0.4231878374699675,0.08296619661082752,0.06117817218763691,0.07100356245114431,0.02208319832113504,0.00404250562728564,0.006071716643131949,0.0,0.0009852117296782325,0.0
2.0,3.0,0.09979713308187557,0.0,0.5747168336436242,0.3319963745737263,0.0,0.044894765328349046,0.04351851213823409,0.0,0.002789457863248132,0.0,0.0020840564528179653,0.0
3.0,3.0,0.16219765325457872,0.0,0.0,0.9258369027466793,0.0,0.0,0.07120922322586429,0.0,0.0,0.0,0.0029538740274564278,0.0
