s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
1.0,1.0,0.060169958033011034,0.6618695383631213,0.12132434635932575,0.0,0.1862892646485869,0.030516850628966034,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.08366778348705474,0.0,0.7990212719982763,0.0,0.0,0.20097872800172362,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.08200864228050492,0.0,0.0,0.9020950650855541,0.0,0.0,0.0979049349144459,0.0,0.0,0.0,0.0,0.0
4.0,1.0,0.07574223043303406,0.0,0.0,0.0,0.6468752701147877,0.22560217112874054,0.0,0.09507564929495581,0.03244690946151589,0.0,0.0,0.0
6.0,1.0,0.12103258679888397,0.0,0.0,0.0,0.0,0.8742607050282936,0.0,0.0,0.1257392949717064,0.0,0.0,0.0
8.0,1.0,0.092461518049628,0.0,0.0,0.0,0.0,0.0,0.9191717636314621,0.0,0.0,0.0,0.08082823636853789,0.0
10.0,1.0,0.0844756363930637,0.0,0.0,0.0,0.0,0.0,0.0,0.8341563510287449,0.16584364897125514,0.0,0.0,0.0
11.0,1.0,0.11795851149028734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9735137729886834,0.026486227011316643,0.0,0.0
12.0,1.0,0.09331692972830151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,1.0,0.09066214410685593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9164553488068774,0.0835446511931226
14.0,1.0,0.09850405919937479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,0.026358730882836075,0.2899460397111968,0.19476853920642928,0.0,0.23931947103753792,0.20303720331991076,0.0,0.037954149022000644,0.03471286933029924,0.00026172837262535426,0.0,0.0
2.0,3.0,0.06408106177145374,0.0,0.510123140279562,0.0,0.0,0.42232055601255036,0.0,0.0,0.06688697229788748,0.0006693314100001711,0.0,0.0
3.0,3.0,0.06673662440523502,0.0,0.0,0.7341028684575852,0.0,0.0,0.24357108416685247,0.0,0.0,0.0,0.021664918190367696,0.000661129185194698
4.0,3.0,0.04636389864320312,0.0,0.0,0.0,0.27068341403769647,0.3944241166971144,0.0,0.15724177036280615,0.17422978346836937,0.0034209154340135153,0.0,0.0
6.0,3.0,0.15345519247269454,0.0,0.0,0.0,0.0,0.6682252411700648,0.0,0.0,0.3222906460122769,0.009484112817658239,0.0,0.0
8.0,3.0,0.09274162900945836,0.0,0.0,0.0,0.0,0.0,0.7765868349371896,0.0,0.0,0.0,0.2042648364011581,0.01914832866165235
10.0,3.0,0.07051053974909814,0.0,0.0,0.0,0.0,0.0,0.0,0.5804200178552728,0.4072470874705221,0.012332894674205055,0.0,0.0
11.0,3.0,0.1752722415986778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9226272990061009,0.07737270099389917,0.0,0.0
12.0,3.0,0.10032197124567287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,3.0,0.09051380090079433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7697220553172118,0.23027794468278812
