alpha,beta,c,gamma,p0,sigma,market,margin,bcost,entry,exit,merger,bundling,profits,surplus,welfare,mpoly,mpolyA,mpolyB,profitsLR,surplusLR,welfareLR
1.0,0.95,1.0,0.0,1.0,1.0,200,0.638,0.0,1.525,0.0,0.0,0.0,2.182,1.237,3.42,0.0,0.0,0.0,2.457,1.431,3.889
1.0,0.95,1.0,0.0,1.0,1.0,300,0.611,0.0,0.7627,0.0,0.0,0.0,2.271,1.3125,3.584,0.0,0.0,0.0,2.457,1.431,3.889
1.0,0.95,1.0,0.0,1.0,1.0,400,0.8755,0.0,0.0,0.0,0.0,0.0,2.365,1.426,3.791,0.0,0.0,0.0,2.457,1.431,3.889
1.0,0.95,1.0,0.0,1.0,10.0,200,-2.12,0.2356,0.3281,0.003769,0.0,0.0,2.541,0.2932,2.834,0.0,0.998,0.0,2.637,0.3293,2.967
1.0,0.95,1.0,0.0,1.0,10.0,300,-6.23,0.6304,0.2129,0.9185,0.0,0.0,2.455,0.393,2.85,0.0,0.9873,0.0,2.613,0.3552,2.969
1.0,0.95,1.0,0.0,1.0,10.0,400,-7.75,0.628,0.0002892,0.9575,0.0,0.0,0.198,2.74,2.938,0.0,0.9893,0.0,2.617,0.3506,2.967
1.0,0.95,1.0,0.0,1.0,2.0,200,0.689,0.02394,1.401,0.0,0.0,0.0,1.819,1.439,3.258,0.0,0.0,0.0,1.886,1.765,3.65
1.0,0.95,1.0,0.0,1.0,2.0,300,0.3684,0.271,0.7393,0.0,0.0,0.0,1.833,1.567,3.4,0.0,0.0,0.0,1.886,1.765,3.65
1.0,0.95,1.0,0.0,1.0,2.0,400,0.5596,0.0,0.0,0.0,0.0,0.0,1.796,1.76,3.557,0.0,0.0,0.0,1.886,1.765,3.65
1.0,0.95,1.0,0.0,1.0,3.0,200,0.7793,0.01049,1.093,0.0,0.0,0.0,1.546,1.541,3.088,0.0,0.0,0.0,1.329,2.13,3.46
1.0,0.95,1.0,0.0,1.0,3.0,300,0.1709,0.2598,0.5967,0.0,0.0,0.0,1.458,1.765,3.223,0.0,0.0,0.0,1.329,2.13,3.46
1.0,0.95,1.0,0.0,1.0,3.0,400,0.28,0.2214,0.0,0.0,0.0,0.0,1.239,2.127,3.365,0.0,0.0,0.0,1.329,2.13,3.46
1.0,0.95,1.0,0.0,1.0,4.0,200,0.865,0.00513,0.8633,0.0,0.0,0.0,1.497,1.496,2.994,0.0,0.0,0.0,1.0,2.346,3.346
1.0,0.95,1.0,0.0,1.0,4.0,300,0.05505,0.2476,0.487,0.0,0.0,0.0,1.31,1.812,3.121,0.0,0.0,0.0,1.0,2.346,3.346
