alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,2.0,20,0.2683,0.398,1.066,0.001029,0.00534,1.099,1.264,2.363,0.0,0.0,0.0
0.1,2.0,21,0.3992,0.0006194,0.786,0.3462,1.0,0.9487,1.3,2.248,0.0,0.0,0.0
0.1,2.0,30,0.2087,0.2876,0.5557,0.0,0.0,1.11,1.374,2.484,0.0,0.0,0.0
0.1,2.0,31,0.2761,0.004128,0.4421,1.003,1.0,0.8877,1.466,2.354,0.0,0.0,0.0
0.1,2.0,40,0.2087,0.2876,0.0,0.0,0.0,1.137,1.464,2.6,0.0,0.0,0.0
0.1,2.0,41,0.1937,0.2678,0.0,0.0,1.0,0.886,1.583,2.469,0.0,0.0,0.0
0.1,2.0,43,0.2139,0.2323,0.0,0.0,1.0,0.7944,1.897,2.691,0.0,0.0,0.0
0.1,3.0,20,0.275,0.3306,0.903,0.02332,0.1586,0.9727,1.217,2.19,0.0,0.0,0.0
0.1,3.0,21,0.47,0.003035,0.5503,0.249,1.0,0.931,1.188,2.12,0.0,0.0,0.0
0.1,3.0,30,0.0819,0.2473,0.498,0.001411,0.002338,0.952,1.368,2.32,0.0,0.0,0.0
0.1,3.0,31,0.2426,0.2308,0.3503,1.06,1.0,0.7637,1.454,2.219,0.0,0.0,0.0
0.1,3.0,40,0.08295,0.2474,0.0,0.0,0.0,0.9517,1.476,2.428,0.0,0.0,0.0
0.1,3.0,41,0.10205,0.2413,0.0,0.0,1.0,0.706,1.615,2.322,0.0,0.0,0.0
0.1,3.0,43,0.0833,0.2225,0.0,0.0,1.0,0.5376,1.941,2.479,0.0,0.0,0.0
0.1,4.0,20,0.31,0.3625,0.7266,0.03534,0.299,0.9204,1.181,2.102,0.0,0.0,0.0
0.1,4.0,21,0.5356,0.001297,0.3792,0.1744,1.0,0.9795,1.085,2.064,0.0,0.0,0.0
0.1,4.0,30,-0.03964,0.587,0.4404,0.03873,0.05646,0.813,1.426,2.238,0.0,0.0,0.0
0.1,4.0,31,0.2637,0.2261,0.2776,1.103,1.0,0.693,1.468,2.16,0.0,0.0,0.0
