alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,8.0,40,0.09924,0.2527,0.01477,2.105,1.0,1.288,0.6787,1.967,0.953,0.994,0.958
0.1,8.0,41,0.02562,0.354,0.01469,3.006,1.0,1.241,0.7754,2.018,0.9526,0.9937,0.958
0.1,8.0,43,-2.809,0.3367,0.02946,1.301,1.0,0.01694,2.004,2.02,0.9536,0.9946,0.9585
0.1,9.0,20,-0.0087,0.013504,0.9087,0.0739,0.139,1.004,0.5425,1.547,0.9673,0.9956,0.9707
0.1,9.0,21,0.71,8.434e-5,0.03906,0.02307,1.0,1.6455,0.3625,2.008,0.9673,0.996,0.971
0.1,9.0,30,-0.02518,0.0744,0.5396,0.484,0.4604,1.158,0.526,1.685,0.9673,0.9956,0.9707
0.1,9.0,31,0.6704,0.00504,0.03412,1.544,1.0,1.619,0.3962,2.016,0.9673,0.996,0.971
0.1,9.0,40,0.1116,0.2432,0.012314,2.098,1.0,1.332,0.6387,1.971,0.9673,0.9956,0.9707
0.1,9.0,41,0.02313,0.3481,0.01222,3.018,1.0,1.281,0.7407,2.021,0.967,0.9956,0.9707
0.1,9.0,43,-2.887,0.3352,0.02318,1.32,1.0,0.014694,2.012,2.025,0.9673,0.996,0.971
0.2,1.0,20,0.3887,0.0,1.334,0.0,0.0,1.492,1.649,3.143,0.0,0.0,0.0
0.2,1.0,21,0.3716,0.0,1.199,0.704,1.0,1.174,1.725,2.898,0.0,0.0,0.0
0.2,1.0,30,0.442,0.0,0.6733,0.0,0.0,1.534,1.748,3.281,0.0,0.0,0.0
0.2,1.0,31,0.4014,0.0,0.6113,1.612,1.0,1.188,1.838,3.027,0.0,0.0,0.0
0.2,1.0,40,0.442,0.0,0.0,0.0,0.0,1.583,1.831,3.414,0.0,0.0,0.0
0.2,1.0,41,0.3586,0.0,0.0,2.5,1.0,1.231,1.929,3.16,0.0,0.0,0.0
0.2,1.0,43,0.3792,0.0,0.0,0.0,1.0,1.165,2.258,3.424,0.0,0.0,0.0
0.2,2.0,20,0.2598,0.3787,1.083,0.0,0.0,1.137,1.357,2.494,0.0,0.0,0.0
0.2,2.0,21,0.406,0.007996,0.7725,0.4197,1.0,0.989,1.388,2.377,0.0,0.0,0.0
0.2,2.0,30,0.1508,0.274,0.5557,0.0,0.0,1.135,1.483,2.617,0.0,0.0,0.0
0.2,2.0,31,0.238,0.2462,0.4282,1.488,1.0,0.902,1.584,2.486,0.0,0.0,0.0
0.2,2.0,40,0.1508,0.274,0.0,0.0,0.0,1.161,1.573,2.734,0.0,0.0,0.0
0.2,2.0,41,0.1495,0.259,0.0,2.5,1.0,0.895,1.704,2.6,0.0,0.0,0.0
0.2,2.0,43,0.162,0.2295,0.0,0.0,1.0,0.78,2.047,2.826,0.0,0.0,0.0
0.2,3.0,20,0.2654,0.3633,0.9316,0.0,0.0,1.014,1.326,2.34,0.0,0.0,0.0
0.2,3.0,21,0.4893,0.002625,0.516,0.27,1.0,0.988,1.262,2.25,0.0,0.0,0.0
0.2,3.0,30,-0.00588,0.4631,0.4983,0.0,0.0,0.952,1.505,2.457,0.0,0.0,0.0
0.2,3.0,31,0.2107,0.2312,0.3354,1.432,1.0,0.7637,1.591,2.355,0.0,0.0,0.0
0.2,3.0,40,-0.00588,0.4631,0.0,0.0,0.0,0.951,1.612,2.564,0.0,0.0,0.0
0.2,3.0,41,0.0476,0.3105,0.0,2.5,1.0,0.6904,1.764,2.453,0.0,0.0,0.0
0.2,3.0,43,0.02228,0.4326,0.0,0.0,1.0,0.504,2.105,2.61,0.0,0.0,0.0
0.2,4.0,20,0.3083,0.3728,0.786,0.0,0.0,0.948,1.317,2.266,0.0,0.0,0.0
0.2,4.0,21,0.563,0.003101,0.3362,0.1719,1.0,1.072,1.123,2.195,0.0,0.0,0.0
0.2,4.0,30,-0.1242,0.6245,0.4463,0.0,0.0,0.805,1.572,2.377,0.0,0.0,0.0
0.2,4.0,31,0.259,0.2585,0.2566,1.386,1.0,0.7046,1.597,2.3,0.0,0.0,0.0
0.2,4.0,40,-0.1242,0.6245,0.0,0.0,0.0,0.771,1.708,2.479,0.0,0.0,0.0
0.2,4.0,41,-0.00955,0.4854,0.0004601,2.496,1.0,0.5264,1.8545,2.38,0.0,0.0,0.0
0.2,4.0,43,-1.561,0.4744,0.1802,1.12,1.0,0.0952,2.148,2.242,0.0,0.0,0.0
0.2,5.0,20,-0.00622,0.01145,0.803,0.05008,0.1027,0.8447,0.717,1.562,0.763,0.9863,0.767
0.2,5.0,21,0.635,0.0005736,0.09955,0.05576,1.0,1.515,0.5996,2.115,0.766,0.99,0.7705
0.2,5.0,30,-0.02785,0.08026,0.4922,0.4138,0.4167,0.9736,0.76,1.733,0.763,0.9863,0.767
0.2,5.0,31,0.5835,0.01671,0.0888,1.571,1.0,1.478,0.6562,2.135,0.763,0.987,0.7676
0.2,5.0,40,0.04733,0.299,0.01613,2.092,1.0,1.136,0.9624,2.098,0.7627,0.9863,0.767
0.2,5.0,41,0.02519,0.3762,0.01611,2.91,1.0,1.105,1.05,2.156,0.7617,0.985,0.766
0.2,5.0,43,-2.643,0.345,0.0566,1.189,1.0,0.03195,2.117,2.148,0.7656,0.9897,0.77
0.2,6.0,20,-0.00873,0.014114,0.898,0.0681,0.1329,0.9585,0.6484,1.607,0.9004,0.989,0.9087
0.2,6.0,21,0.6714,0.0002828,0.0774,0.04514,1.0,1.623,0.5034,2.127,0.9014,0.99,0.9097
0.2,6.0,30,-0.03123,0.0821,0.535,0.4692,0.4558,1.102,0.662,1.764,0.9004,0.989,0.9087
0.2,6.0,31,0.6216,0.008125,0.0664,1.559,1.0,1.589,0.55,2.139,0.901,0.9897,0.909
0.2,6.0,40,0.06836,0.2769,0.01884,2.117,1.0,1.282,0.813,2.096,0.9004,0.989,0.9087
0.2,6.0,41,0.02957,0.3687,0.0188,2.967,1.0,1.248,0.9043,2.152,0.9,0.9883,0.908
0.2,6.0,43,-2.857,0.341,0.0447,1.241,1.0,0.02402,2.13,2.154,0.901,0.9897,0.909
0.2,7.0,20,-0.012054,0.015076,0.94,0.07794,0.1476,1.018,0.6123,1.63,0.943,0.993,0.949
0.2,7.0,21,0.6997,0.0001602,0.0572,0.0337,1.0,1.693,0.4446,2.139,0.9434,0.993,0.9497
0.2,7.0,30,-0.03937,0.0806,0.5537,0.496,0.4731,1.168,0.614,1.782,0.943,0.993,0.949
0.2,7.0,31,0.6533,0.00623,0.04956,1.551,1.0,1.663,0.485,2.148,0.9434,0.993,0.949
0.2,7.0,40,0.06866,0.2556,0.01622,2.113,1.0,1.355,0.745,2.1,0.943,0.993,0.949
0.2,7.0,41,-0.010414,0.3513,0.01599,3.01,1.0,1.306,0.8525,2.158,0.943,0.993,0.949
0.2,7.0,43,-2.98,0.3467,0.03128,1.213,1.0,0.02397,2.139,2.164,0.9434,0.993,0.9497
0.2,8.0,20,-0.01343,0.0158,0.9707,0.0854,0.1589,1.063,0.5835,1.647,0.9624,0.995,0.967
0.2,8.0,21,0.7227,9.906e-5,0.0433,0.02556,1.0,1.745,0.4019,2.146,0.9624,0.995,0.9673
0.2,8.0,30,-0.04092,0.07983,0.567,0.5146,0.4863,1.22,0.5767,1.797,0.9624,0.995,0.967
0.2,8.0,31,0.681,0.00509,0.03784,1.546,1.0,1.719,0.4375,2.156,0.9624,0.995,0.9673
0.2,8.0,40,0.0792,0.244,0.01336,2.104,1.0,1.41,0.6953,2.105,0.9624,0.995,0.967
0.2,8.0,41,-0.02325,0.3447,0.01315,3.023,1.0,1.352,0.812,2.164,0.9624,0.995,0.967
0.2,8.0,43,-3.082,0.342,0.02437,1.259,1.0,0.01979,2.148,2.168,0.9624,0.995,0.9673
0.2,9.0,20,-0.01415,0.0164,0.9956,0.0915,0.1682,1.102,0.5605,1.662,0.973,0.9966,0.9766
0.2,9.0,21,0.741,6.53e-5,0.03375,0.01991,1.0,1.786,0.3684,2.154,0.973,0.9966,0.9766
0.2,9.0,30,-0.04025,0.07947,0.5776,0.529,0.4966,1.262,0.5474,1.809,0.973,0.9966,0.9766
0.2,9.0,31,0.704,0.004265,0.02974,1.542,1.0,1.763,0.3997,2.162,0.973,0.9966,0.9766
0.2,9.0,40,0.0927,0.2362,0.01098,2.094,1.0,1.454,0.6567,2.111,0.973,0.9966,0.9766
0.2,9.0,41,-0.02391,0.3406,0.0108,3.033,1.0,1.39,0.779,2.168,0.973,0.9966,0.9766
0.2,9.0,43,-3.162,0.3389,0.01936,1.291,1.0,0.0168,2.156,2.174,0.973,0.9966,0.9766
0.3,1.0,20,0.375,0.0,1.353,0.0,0.0,1.534,1.737,3.271,0.0,0.0,0.0
0.3,1.0,21,0.3667,0.0,1.201,0.705,1.0,1.211,1.816,3.027,0.0,0.0,0.0
0.3,1.0,30,0.4028,0.0,0.6733,0.0,0.0,1.571,1.843,3.414,0.0,0.0,0.0
0.3,1.0,31,0.3706,0.0,0.6,1.604,1.0,1.219,1.94,3.158,0.0,0.0,0.0
0.3,1.0,40,0.4028,0.0,0.0,0.0,0.0,1.62,1.926,3.547,0.0,0.0,0.0
0.3,1.0,41,0.3271,0.0,0.0,2.5,1.0,1.259,2.033,3.291,0.0,0.0,0.0
0.3,1.0,43,0.3477,0.0,0.0,0.0,1.0,1.193,2.383,3.576,0.0,0.0,0.0
0.3,2.0,20,0.2468,0.3594,1.096,0.0,0.0,1.173,1.473,2.646,0.0,0.0,0.0
0.3,2.0,21,0.4143,0.00709,0.753,0.4075,1.0,1.033,1.491,2.523,0.0,0.0,0.0
0.3,2.0,30,0.0701,0.2607,0.5557,0.0,0.0,1.154,1.619,2.773,0.0,0.0,0.0
0.3,2.0,31,0.1893,0.2402,0.4143,1.4795,1.0,0.911,1.728,2.639,0.0,0.0,0.0
0.3,2.0,40,0.0701,0.2607,0.0,0.0,0.0,1.181,1.709,2.889,0.0,0.0,0.0
0.3,2.0,41,0.0913,0.2505,0.0,2.5,1.0,0.8975,1.854,2.75,0.0,0.0,0.0
0.3,2.0,43,0.09845,0.2272,0.0,0.0,1.0,0.7554,2.223,2.979,0.0,0.0,0.0
0.3,3.0,20,0.269,0.3828,0.9194,0.0,0.0,1.043,1.446,2.49,0.0,0.0,0.0
