alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,8.0,40,-0.218,0.626,0.0008774,0.169,0.1071,0.3916,1.793,2.184,0.00562,0.00604,0.005795
0.1,8.0,41,-0.02458,0.469,0.00808,2.635,1.0,0.4019,1.719,2.121,0.03323,0.0357,0.03427
0.1,8.0,43,-0.1108,0.694,0.0,0.0,1.0,0.13,2.062,2.193,0.0,0.0,0.0
0.1,9.0,20,0.4878,0.2678,0.3396,0.0652,0.531,1.455,0.535,1.991,0.502,0.525,0.5117
0.1,9.0,21,0.7075,0.0001632,0.06903,0.04044,1.0,1.619,0.3904,2.01,0.5303,0.5547,0.5405
0.1,9.0,30,-0.4038,0.5293,0.1705,0.713,0.82,1.066,0.958,2.025,0.411,0.4297,0.4187
0.1,9.0,31,0.5767,0.01037,0.0785,1.558,1.0,1.485,0.5444,2.03,0.5005,0.5234,0.5103
0.1,9.0,40,-0.1962,0.5747,0.005512,0.545,0.292,0.451,1.696,2.146,0.078,0.0816,0.0795
0.1,9.0,41,0.00804,0.526,0.012436,2.752,1.0,0.542,1.556,2.098,0.1616,0.1691,0.1648
0.1,9.0,43,-0.0978,0.6943,0.001951,0.04855,1.0,0.1849,1.98,2.166,0.03372,0.03528,0.0344
0.2,1.0,20,0.3887,0.0,1.334,0.0,0.0,1.492,1.649,3.143,0.0,0.0,0.0
0.2,1.0,21,0.3716,0.0,1.199,0.704,1.0,1.174,1.725,2.898,0.0,0.0,0.0
0.2,1.0,30,0.442,0.0,0.6733,0.0,0.0,1.534,1.748,3.281,0.0,0.0,0.0
0.2,1.0,31,0.4014,0.0,0.6113,1.612,1.0,1.188,1.838,3.027,0.0,0.0,0.0
0.2,1.0,40,0.442,0.0,0.0,0.0,0.0,1.583,1.831,3.414,0.0,0.0,0.0
0.2,1.0,41,0.3586,0.0,0.0,2.5,1.0,1.231,1.929,3.16,0.0,0.0,0.0
0.2,1.0,43,0.3792,0.0,0.0,0.0,1.0,1.165,2.258,3.424,0.0,0.0,0.0
0.2,2.0,20,0.261,0.3765,1.078,0.007774,0.03223,1.131,1.358,2.49,0.0,0.0,0.0
0.2,2.0,21,0.406,0.007996,0.7725,0.4197,1.0,0.989,1.388,2.377,0.0,0.0,0.0
0.2,2.0,30,0.1508,0.274,0.5557,0.0,0.0,1.135,1.483,2.617,0.0,0.0,0.0
0.2,2.0,31,0.238,0.2462,0.4282,1.488,1.0,0.902,1.584,2.486,0.0,0.0,0.0
0.2,2.0,40,0.1508,0.274,0.0,0.0,0.0,1.161,1.573,2.734,0.0,0.0,0.0
0.2,2.0,41,0.1495,0.259,0.0,2.5,1.0,0.895,1.704,2.6,0.0,0.0,0.0
0.2,2.0,43,0.162,0.2295,0.0,0.0,1.0,0.78,2.047,2.826,0.0,0.0,0.0
0.2,3.0,20,0.2776,0.376,0.8794,0.03766,0.2185,0.9966,1.314,2.31,0.0,0.0,0.0
0.2,3.0,21,0.4893,0.002625,0.516,0.27,1.0,0.988,1.262,2.25,0.0,0.0,0.0
0.2,3.0,30,-0.01411,0.543,0.4968,0.015114,0.01672,0.9473,1.508,2.455,0.0,0.0,0.0
0.2,3.0,31,0.2107,0.2312,0.3354,1.432,1.0,0.7637,1.591,2.355,0.0,0.0,0.0
0.2,3.0,40,-0.00588,0.4631,0.0,0.0,0.0,0.951,1.612,2.564,0.0,0.0,0.0
0.2,3.0,41,0.0476,0.3105,0.0,2.5,1.0,0.6904,1.764,2.453,0.0,0.0,0.0
0.2,3.0,43,0.02228,0.4326,0.0,0.0,1.0,0.504,2.105,2.61,0.0,0.0,0.0
0.2,4.0,20,0.328,0.3457,0.6787,0.0457,0.3618,0.9746,1.248,2.223,0.0,0.0,0.0
0.2,4.0,21,0.563,0.003101,0.3362,0.1719,1.0,1.072,1.123,2.195,0.0,0.0,0.0
0.2,4.0,30,-0.1781,0.584,0.4348,0.0911,0.1026,0.779,1.59,2.37,0.0,0.0,0.0
0.2,4.0,31,0.259,0.2585,0.2566,1.386,1.0,0.7046,1.597,2.3,0.0,0.0,0.0
0.2,4.0,40,-0.1242,0.6245,0.0,0.0,0.0,0.771,1.708,2.479,0.0,0.0,0.0
0.2,4.0,41,-0.00857,0.4858,0.0,2.5,1.0,0.526,1.855,2.38,0.0,0.0,0.0
0.2,4.0,43,-0.0568,0.611,0.0,0.0,1.0,0.342,2.154,2.496,0.0,0.0,0.0
0.2,5.0,20,0.3909,0.305,0.5015,0.04266,0.4426,1.064,1.105,2.17,0.0,0.0,0.0
0.2,5.0,21,0.62,0.001383,0.2202,0.1154,1.0,1.241,0.9224,2.164,0.0,0.0,0.0
0.2,5.0,30,-0.3345,0.55,0.362,0.258,0.2976,0.6733,1.62,2.293,0.0,0.0,0.0
0.2,5.0,31,0.362,0.2418,0.194,1.48,1.0,0.9023,1.336,2.238,0.0,0.0,0.0
0.2,5.0,40,-0.2087,0.6675,0.0,0.0,0.0,0.6206,1.801,2.422,0.0,0.0,0.0
0.2,5.0,41,-0.04633,0.4854,0.0,2.5,1.0,0.4036,1.933,2.336,0.0,0.0,0.0
0.2,5.0,43,-0.10345,0.664,0.0,0.0,1.0,0.2426,2.184,2.426,0.0,0.0,0.0
0.2,6.0,20,0.4502,0.2788,0.384,0.05737,0.51,1.287,0.8447,2.133,0.0008993,0.001091,0.000973
0.2,6.0,21,0.663,0.0006537,0.1469,0.08215,1.0,1.48,0.664,2.145,0.001061,0.001288,0.001149
0.2,6.0,30,-0.4583,0.585,0.2979,0.425,0.466,0.7344,1.504,2.238,0.0003262,0.0003958,0.000353
0.2,6.0,31,0.4514,0.234,0.1432,1.534,1.0,1.183,1.015,2.197,0.000784,0.000951,0.0008483
0.2,6.0,40,-0.2659,0.686,0.0,0.0,0.0,0.503,1.876,2.379,0.0,0.0,0.0
0.2,6.0,41,-0.076,0.482,0.0,2.5,1.0,0.315,1.991,2.307,0.0,0.0,0.0
0.2,6.0,43,-0.1328,0.685,0.0,0.0,1.0,0.1764,2.205,2.38,0.0,0.0,0.0
0.2,7.0,20,0.4917,0.2512,0.3748,0.06226,0.504,1.469,0.6567,2.125,0.1477,0.1605,0.1526
0.2,7.0,21,0.6953,0.0003269,0.099,0.05728,1.0,1.636,0.508,2.145,0.1588,0.1727,0.1642
0.2,7.0,30,-0.4597,0.581,0.255,0.794,0.5503,1.002,1.186,2.188,0.1008,0.1096,0.10425
0.2,7.0,31,0.5215,0.01375,0.10394,1.556,1.0,1.435,0.742,2.176,0.1411,0.1533,0.1459
0.2,7.0,40,-0.2983,0.7393,0.000606,0.12225,0.08215,0.4229,1.917,2.34,0.003588,0.0039,0.003708
0.2,7.0,41,-0.05817,0.559,0.007965,2.627,1.0,0.4265,1.841,2.268,0.02666,0.02898,0.02756
0.2,7.0,43,-0.1516,0.7764,0.0,0.0,1.0,0.1294,2.219,2.348,0.0,0.0,0.0
0.2,8.0,20,0.5195,0.2484,0.3452,0.0627,0.5063,1.57,0.558,2.129,0.556,0.583,0.566
0.2,8.0,21,0.72,0.0001706,0.06824,0.03998,1.0,1.723,0.427,2.148,0.578,0.606,0.5884
0.2,8.0,30,-0.503,0.518,0.1942,0.898,0.7563,1.151,1.012,2.164,0.4597,0.4817,0.4678
0.2,8.0,31,0.5815,0.00929,0.0754,1.558,1.0,1.588,0.584,2.172,0.55,0.576,0.5596
0.2,8.0,40,-0.2417,0.6494,0.00803,0.6416,0.3298,0.5493,1.736,2.285,0.1246,0.1306,0.1268
0.2,8.0,41,0.001974,0.5117,0.014595,2.771,1.0,0.668,1.566,2.234,0.2227,0.2333,0.2266
0.2,8.0,43,-0.0746,0.7236,0.006886,0.2169,1.0,0.4058,1.887,2.291,0.1293,0.1355,0.1316
0.2,9.0,20,0.54,0.2559,0.315,0.0622,0.507,1.63,0.504,2.133,0.796,0.82,0.804
0.2,9.0,21,0.74,9.73e-5,0.0482,0.02834,1.0,1.776,0.3794,2.156,0.8164,0.8413,0.8247
0.2,9.0,30,-0.4868,0.5117,0.1576,0.8154,0.8345,1.257,0.9014,2.158,0.7017,0.723,0.709
0.2,9.0,31,0.6274,0.00676,0.05496,1.553,1.0,1.68,0.4937,2.174,0.795,0.819,0.803
0.2,9.0,40,-0.1575,0.592,0.01228,1.089,0.496,0.758,1.491,2.248,0.3428,0.353,0.3462
0.2,9.0,41,0.07324,0.4744,0.01645,2.857,1.0,0.9077,1.306,2.213,0.4587,0.4724,0.4634
0.2,9.0,43,0.07574,0.6143,0.01324,0.6836,1.0,0.8643,1.374,2.238,0.4338,0.4468,0.4382
0.3,1.0,20,0.375,0.0,1.353,0.0,0.0,1.534,1.737,3.271,0.0,0.0,0.0
0.3,1.0,21,0.3667,0.0,1.201,0.705,1.0,1.211,1.816,3.027,0.0,0.0,0.0
0.3,1.0,30,0.4028,0.0,0.6733,0.0,0.0,1.571,1.843,3.414,0.0,0.0,0.0
0.3,1.0,31,0.3706,0.0,0.6,1.604,1.0,1.219,1.94,3.158,0.0,0.0,0.0
0.3,1.0,40,0.4028,0.0,0.0,0.0,0.0,1.62,1.926,3.547,0.0,0.0,0.0
0.3,1.0,41,0.3271,0.0,0.0,2.5,1.0,1.259,2.033,3.291,0.0,0.0,0.0
0.3,1.0,43,0.3477,0.0,0.0,0.0,1.0,1.193,2.383,3.576,0.0,0.0,0.0
0.3,2.0,20,0.2498,0.3555,1.085,0.01482,0.06207,1.163,1.474,2.637,0.0,0.0,0.0
0.3,2.0,21,0.4143,0.00709,0.753,0.4075,1.0,1.033,1.491,2.523,0.0,0.0,0.0
0.3,2.0,30,0.0701,0.2607,0.5557,0.0,0.0,1.154,1.619,2.773,0.0,0.0,0.0
0.3,2.0,31,0.1893,0.2402,0.4143,1.4795,1.0,0.911,1.728,2.639,0.0,0.0,0.0
0.3,2.0,40,0.0701,0.2607,0.0,0.0,0.0,1.181,1.709,2.889,0.0,0.0,0.0
0.3,2.0,41,0.0913,0.2505,0.0,2.5,1.0,0.8975,1.854,2.75,0.0,0.0,0.0
0.3,2.0,43,0.09845,0.2272,0.0,0.0,1.0,0.7554,2.223,2.979,0.0,0.0,0.0
