alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,8.0,41,-0.257,0.4895,0.01451,2.943,1.0,1.0,1.034,2.033,0.8613,0.8984,0.865
0.1,8.0,43,-0.1108,0.694,0.0,0.0,1.0,0.13,2.062,2.193,0.0,0.0,0.0
0.1,9.0,20,0.479,0.2683,0.3088,0.05432,0.453,1.496,0.4868,1.983,0.956,0.9844,0.958
0.1,9.0,21,0.71,9.57e-5,0.03644,0.02153,1.0,1.645,0.3633,2.008,0.963,0.9917,0.9653
0.1,9.0,30,-1.714,0.5977,0.207,0.7407,0.8003,0.901,1.113,2.014,0.9004,0.9272,0.9023
0.1,9.0,31,0.513,0.2277,0.03497,1.544,1.0,1.524,0.4998,2.023,0.952,0.98,0.954
0.1,9.0,40,-4.285,0.556,0.005566,1.743,0.7515,0.2605,1.781,2.041,0.948,0.976,0.95
0.1,9.0,41,-1.91,0.457,0.01122,3.018,1.0,0.3752,1.653,2.03,0.951,0.979,0.953
0.1,9.0,43,-2.873,0.4133,0.0222,1.359,1.0,0.01204,2.014,2.027,0.959,0.9873,0.961
0.2,1.0,20,0.3887,0.0,1.334,0.0,0.0,1.492,1.649,3.143,0.0,0.0,0.0
0.2,1.0,21,0.3718,0.0,1.199,0.704,1.0,1.174,1.724,2.898,0.0,0.0,0.0
0.2,1.0,30,0.442,0.0,0.6733,0.0,0.0,1.534,1.748,3.281,0.0,0.0,0.0
0.2,1.0,31,0.4016,0.0,0.6113,1.612,1.0,1.188,1.838,3.027,0.0,0.0,0.0
0.2,1.0,40,0.442,0.0,0.0,0.0,0.0,1.583,1.831,3.414,0.0,0.0,0.0
0.2,1.0,41,0.3586,0.0,0.0,2.5,1.0,1.231,1.929,3.16,0.0,0.0,0.0
0.2,1.0,43,0.3792,0.0,0.0,0.0,1.0,1.165,2.258,3.424,0.0,0.0,0.0
0.2,2.0,20,0.2612,0.3772,1.078,0.007668,0.0318,1.131,1.358,2.49,0.0,0.0,0.0
0.2,2.0,21,0.4062,0.00803,0.773,0.4202,1.0,0.989,1.388,2.377,0.0,0.0,0.0
0.2,2.0,30,0.1508,0.274,0.5557,0.0,0.0,1.135,1.483,2.617,0.0,0.0,0.0
0.2,2.0,31,0.2396,0.2466,0.4282,1.488,1.0,0.9023,1.583,2.486,0.0,0.0,0.0
0.2,2.0,40,0.1508,0.274,0.0,0.0,0.0,1.161,1.573,2.734,0.0,0.0,0.0
0.2,2.0,41,0.1495,0.259,0.0,2.5,1.0,0.895,1.704,2.6,0.0,0.0,0.0
0.2,2.0,43,0.162,0.2295,0.0,0.0,1.0,0.78,2.047,2.826,0.0,0.0,0.0
0.2,3.0,20,0.2778,0.3506,0.8804,0.0375,0.2168,0.9966,1.314,2.31,0.0,0.0,0.0
0.2,3.0,21,0.4897,0.002668,0.5186,0.2715,1.0,0.9883,1.262,2.25,0.0,0.0,0.0
0.2,3.0,30,-0.0134,0.46,0.4968,0.014275,0.01582,0.9478,1.508,2.455,0.0,0.0,0.0
0.2,3.0,31,0.2181,0.2317,0.3354,1.432,1.0,0.767,1.587,2.354,0.0,0.0,0.0
0.2,3.0,40,-0.00588,0.4631,0.0,0.0,0.0,0.951,1.612,2.564,0.0,0.0,0.0
0.2,3.0,41,0.0476,0.3105,0.0,2.5,1.0,0.6904,1.764,2.453,0.0,0.0,0.0
0.2,3.0,43,0.02228,0.4326,0.0,0.0,1.0,0.504,2.105,2.61,0.0,0.0,0.0
0.2,4.0,20,0.328,0.3472,0.6816,0.04578,0.3567,0.9736,1.25,2.223,0.0,0.0,0.0
0.2,4.0,21,0.5635,0.003185,0.344,0.176,1.0,1.071,1.126,2.197,0.0,0.0,0.0
0.2,4.0,30,-0.1714,0.587,0.4353,0.0881,0.0996,0.7817,1.587,2.37,0.0,0.0,0.0
0.2,4.0,31,0.2817,0.2595,0.2568,1.386,1.0,0.72,1.58,2.3,0.0,0.0,0.0
0.2,4.0,40,-0.1242,0.6245,0.0,0.0,0.0,0.771,1.708,2.479,0.0,0.0,0.0
0.2,4.0,41,-0.00857,0.4858,0.0,2.5,1.0,0.526,1.855,2.38,0.0,0.0,0.0
0.2,4.0,43,-0.0568,0.611,0.0,0.0,1.0,0.342,2.154,2.496,0.0,0.0,0.0
0.2,5.0,20,0.4053,0.2776,0.3923,0.05618,0.4514,1.333,0.7554,2.09,0.417,0.5327,0.428
0.2,5.0,21,0.631,0.0009003,0.1167,0.0658,1.0,1.486,0.6323,2.12,0.425,0.5435,0.4363
0.2,5.0,30,-2.164,0.536,0.287,0.956,0.5854,0.5864,1.578,2.164,0.3394,0.4336,0.3484
0.2,5.0,31,0.1956,0.2402,0.0995,1.56,1.0,1.181,0.981,2.16,0.391,0.4998,0.4014
0.2,5.0,40,-1.715,0.6567,0.01418,1.326,0.665,0.39,1.88,2.27,0.2505,0.32,0.257
0.2,5.0,41,-0.6123,0.627,0.02063,2.748,1.0,0.538,1.679,2.217,0.3162,0.404,0.3245
