alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,8.0,40,-0.1715,0.2517,0.01479,2.107,1.0,1.167,0.801,1.968,0.953,0.994,0.9585
0.1,8.0,41,-0.4578,0.352,0.01476,3.014,1.0,1.024,0.994,2.018,0.953,0.994,0.9585
0.1,8.0,43,-2.809,0.3367,0.02948,1.301,1.0,0.01694,2.004,2.02,0.9536,0.994,0.9585
0.1,9.0,20,0.1743,0.02563,0.608,0.176,0.7705,1.417,0.402,1.819,0.9673,0.996,0.971
0.1,9.0,21,0.71,8.43e-5,0.03906,0.02307,1.0,1.6455,0.3625,2.008,0.9673,0.996,0.971
0.1,9.0,30,0.2695,0.03058,0.2654,0.92,0.9653,1.48,0.423,1.903,0.9673,0.996,0.971
0.1,9.0,31,0.669,0.004505,0.03397,1.544,1.0,1.619,0.3972,2.016,0.9673,0.996,0.971
0.1,9.0,40,-0.156,0.2426,0.012314,2.1,1.0,1.212,0.7593,1.972,0.9673,0.9956,0.971
0.1,9.0,41,-0.471,0.3467,0.012276,3.025,1.0,1.059,0.9644,2.023,0.9673,0.9956,0.971
0.1,9.0,43,-2.887,0.3352,0.0232,1.32,1.0,0.014694,2.012,2.025,0.9673,0.996,0.971
0.2,1.0,20,0.3887,0.0,1.334,0.0,0.0,1.492,1.649,3.143,0.0,0.0,0.0
0.2,1.0,21,0.3716,0.0,1.199,0.704,1.0,1.174,1.725,2.898,0.0,0.0,0.0
0.2,1.0,30,0.442,0.0,0.6733,0.0,0.0,1.534,1.748,3.281,0.0,0.0,0.0
0.2,1.0,31,0.4014,0.0,0.6113,1.612,1.0,1.188,1.838,3.027,0.0,0.0,0.0
0.2,1.0,40,0.442,0.0,0.0,0.0,0.0,1.583,1.831,3.414,0.0,0.0,0.0
0.2,1.0,41,0.3586,0.0,0.0,2.5,1.0,1.231,1.929,3.16,0.0,0.0,0.0
0.2,1.0,43,0.3792,0.0,0.0,0.0,1.0,1.165,2.258,3.424,0.0,0.0,0.0
