s,t,prices,profits,surplus,welfare
10.0,0.0,-0.41815764907036435,3.0584694282544347,0.4853082144979858,3.5437776427524206
75.0,0.0,-3.0661513427794773,0.5695289006931673,3.267056434071886,3.8365853347650534
1.0,1.0,-0.4950847290958913,0.3229867468893172,0.6029289611120479,0.9259157080013651
6.0,1.0,-0.4043960826169342,0.5470469157591952,0.47324270748438585,1.020289623243581
11.0,1.0,-38.27448238812585,-37.45641091214064,38.441261304683735,0.9848503925430947
26.0,1.0,-26.98236241455905,-25.989342813212136,27.02940431201262,1.0400614988004833
61.0,1.0,-42.1061527950294,-41.109488280522015,42.307057798767104,1.1975695182450892
76.0,1.0,-37.722418122065186,-36.72241812206519,37.77272020887367,1.050302086808479
101.0,1.0,-44.940286134945616,-43.940286134945616,45.138328186534174,1.1980420515885584
1.0,2.0,-0.8505485521656276,0.8506495790028751,0.9526899344085955,1.8033395134114707
6.0,2.0,-0.41377940077294345,1.4463312791472613,0.48194176151277496,1.9282730406600366
11.0,2.0,-5.4293184528749245,-3.583809427775152,5.504918995621955,1.9211095678468035
26.0,2.0,-0.7168002145331823,1.237864652463213,0.7738949234526438,2.011759575915856
61.0,2.0,-5.441911319462798,-3.465323234333815,5.531579360912048,2.0662561265782333
76.0,2.0,-3.377196563483286,-1.4012514648749974,3.4323139854688907,2.0310625205938933
101.0,2.0,-9.356981034018128,-7.382098197073342,9.443139298937028,2.0610411018636867
1.0,3.0,-0.6206766002454727,1.6777481202325042,0.7192641379895127,2.397012258222017
6.0,3.0,-0.4193461457980674,2.02746523910536,0.48704322675810346,2.514508465863463
11.0,3.0,-0.7000730687692732,1.7167192404770881,0.789639003572906,2.5063582440499945
26.0,3.0,-0.5404593884299735,1.9627584696385159,0.6081227954032937,2.5708812650418094
61.0,3.0,-1.1640261353176278,1.3625367258370105,1.262416073462155,2.6249527992991655
76.0,3.0,-1.0629962445578331,1.4578488774181066,1.133792606321852,2.591641483739958
101.0,3.0,-1.100979040947613,1.4323807007817533,1.1825859412930835,2.6149666420748368
1.0,4.0,-0.5850561476142606,2.217494281456381,0.6810311668442294,2.898525448300612
6.0,4.0,-0.4236569549269586,2.5192981863003,0.4910561685903854,3.010354354890685
11.0,4.0,-0.6211908900691343,2.283249142957364,0.712112092788639,2.995361235746004
26.0,4.0,-0.46638248251873515,2.5267336665088687,0.5339697722172312,3.060703438726099
61.0,4.0,-1.009607240590034,1.9883587602672401,1.1036449570405324,3.0920037173077723
76.0,4.0,-0.8726908411536247,2.1255052423726,0.9435016332693915,3.069006875641992
101.0,4.0,-0.8942884043822349,2.112973011009427,0.971800902827965,3.084773913837393
1.0,5.0,-0.5915979953102004,2.665599683262743,0.6849889778703895,3.350588661133132
6.0,5.0,-0.42644752951572573,2.963603890255586,0.49369459200283794,3.457298482258423
11.0,5.0,-0.6008498800163015,2.7515080571113226,0.6897696742094411,3.4412777313207648
26.0,5.0,-0.46109420060461603,2.975427735753046,0.5285473619627098,3.5039750977157555
61.0,5.0,-0.9237810419826036,2.50788815289583,1.0122390523343334,3.5201272052301644
76.0,5.0,-0.7753730560795684,2.6593990327408097,0.8453511189034251,3.504750151644235
101.0,5.0,-0.7741003386928345,2.6687544041855666,0.8475599375969111,3.5163143417824774
1.0,6.0,-0.5955043284617023,2.78120237717673,0.6864498565730035,3.4676522337497353
6.0,6.0,-0.4278146454172086,3.039304943615783,0.4950439421618141,3.534348885777597
11.0,6.0,-0.5982190004821655,2.813153472512579,0.685165556023222,3.498319028535798
26.0,6.0,-0.4565242583500757,3.0233417171079213,0.5239269405115871,3.547268657619512
61.0,6.0,-0.8588953404891299,2.621159524877862,0.9429776578741831,3.564137182752045
76.0,6.0,-0.7054205240542073,2.77609264023277,0.7748031922170076,3.5508958324497772
101.0,6.0,-0.7034758458858807,2.780301466430239,0.7746206176649452,3.5549220840951836
1.0,7.0,-0.5956939498853534,2.8091589057810062,0.6842855716721854,3.4934444774531914
6.0,7.0,-0.42874933343723376,3.0471229842827205,0.49598264395940705,3.543105628242128
11.0,7.0,-0.5938682027686417,2.8301404912734403,0.678890175169721,3.509030666443162
26.0,7.0,-0.4529896322451864,3.0286157053115956,0.5203653976060856,3.5489811029176828
61.0,7.0,-0.799677550441995,2.6831069826144884,0.8802962280488081,3.563403210663294
76.0,7.0,-0.6501457227980219,2.833401278062506,0.7190720050234543,3.552473283085961
101.0,7.0,-0.6477878685774532,2.8368164520309977,0.7175662283589106,3.554382680389909
1.0,8.0,-0.5927651691564584,2.824445829652496,0.6791131368964879,3.503558966548983
6.0,8.0,-0.4294729126452928,3.04721261043481,0.49671145736013694,3.5439240677949497
11.0,8.0,-0.5874741816093483,2.8442052271645504,0.6706516350649069,3.5148568622294576
26.0,8.0,-0.44986468278305053,3.0307975486967473,0.5172223128042533,3.5480198615010017
61.0,8.0,-0.7461705363855576,2.73566876324072,0.8240380218418136,3.559706785082535
76.0,8.0,-0.6059989269028373,2.8762918524925074,0.6745674351743026,3.550859287666811
101.0,8.0,-0.6034853201139725,2.8793735013228465,0.6724321286163252,3.5518056299391714
1.0,9.0,-0.587382661223481,2.838936427677182,0.6716267777536363,3.5105632054308185
6.0,9.0,-0.43004459665863787,3.046712640517497,0.49728746577343225,3.54400010629093
11.0,9.0,-0.5795554013683177,2.858513583894276,0.660997420826028,3.519511004720305
26.0,9.0,-0.4471311477527442,3.032649454395916,0.5144757674808188,3.547125221876736
61.0,9.0,-0.6986605826168985,2.7821767795324157,0.7743423503736765,3.5565191299060888
76.0,9.0,-0.5707475741882728,2.9103500134505533,0.6390351645811656,3.549385178031717
101.0,9.0,-0.5682557924278694,2.913154647840659,0.6366812859156128,3.549835933756271
1.0,10.0,-0.5801623611268406,2.8537596235199696,0.6624615007584869,3.5162211242784576
6.0,10.0,-0.43049735367318737,3.046269790003452,0.49774365384854674,3.5440134438519975
11.0,10.0,-0.5705886139159345,2.8729919464419296,0.6504218061768996,3.5234137526188314
26.0,10.0,-0.4447657686895485,3.034321442368394,0.5121006096714802,3.546422052039877
61.0,10.0,-0.6570496197886346,2.8229728872002613,0.7309952367807749,3.5539681239810403
76.0,10.0,-0.5426093796743575,2.937543353892428,0.6106765108816107,3.54821986477404
101.0,10.0,-0.5402493167694387,2.9400778798733342,0.6083375348241002,3.5484154146974345
1.0,11.0,-0.5716533034556218,2.8687216376697258,0.652174745112017,3.5208963827817445
6.0,11.0,-0.4308559909898728,3.045915460000305,0.4981050028489899,3.544020462849294
11.0,11.0,-0.5609861385985667,2.8873538047144636,0.6393453307765179,3.5266991354909836
26.0,11.0,-0.4427369196786315,3.0358126332695443,0.5100640331509112,3.545876666420455
61.0,11.0,-0.6210027940619567,2.8583700089400192,0.6935696383001551,3.5519396472401747
76.0,11.0,-0.5201570913228513,2.959257769394089,0.5880512826792076,3.5473090520732935
101.0,11.0,-0.5179898535789242,2.961523430157839,0.5858527518879812,3.5473761820458205
1.0,12.0,-0.5623266753024141,2.8835337987792427,0.641238256874629,3.524772055653873
6.0,12.0,-0.43114006223882345,3.045634530533845,0.49839121687575155,3.5440257474095946
11.0,12.0,-0.5510913367413915,2.9013509805588815,0.6281128821858704,3.5294638627447528
26.0,12.0,-0.4410093408773299,3.037124490119995,0.5083300365941144,3.5454545267141095
61.0,12.0,-0.5900551791045845,2.8887995543706966,0.6615272625244102,3.550326816895106
76.0,12.0,-0.5022482678554203,2.9765905593718402,0.5700068163522868,3.5465973757241245
101.0,12.0,-0.5003017345504548,2.9785931997273223,0.5680093939103874,3.5466025936377106
1.0,13.0,-0.5525731030103366,2.897949989772311,0.6300378638808682,3.52798785365318
6.0,13.0,-0.4313650569605533,3.045411989032947,0.4986179051431405,3.5440298941760893
11.0,13.0,-0.5411803402936122,2.9147916042108584,0.6169974932480415,3.5317890974589
26.0,13.0,-0.4395472061901172,3.038265842466454,0.5068623374401829,3.5451281799066363
61.0,13.0,-0.5636834447306663,2.914757576714577,0.6342864108677195,3.549043987582297
76.0,13.0,-0.4879687453178313,2.9904201739136873,0.5556208954036861,3.546041069317374
101.0,13.0,-0.4862491928955201,2.992171944611806,0.5538468652032542,3.546018809815061
1.0,14.0,-0.5427061596131818,2.9117791004671147,0.6188788661282064,3.530657966595321
6.0,14.0,-0.4315432502831506,3.0452357225639615,0.49879743725681874,3.5440331598207813
11.0,14.0,-0.5314675344932183,2.9275364002243456,0.6062073900638303,3.5337437902881765
26.0,14.0,-0.4383160316257135,3.0392500133681484,0.5056261787485955,3.544876192116745
61.0,14.0,-0.5413527180885779,2.9367575423923857,0.6112657920739711,3.5480233344663556
76.0,14.0,-0.47658725723736167,3.0014501678636223,0.5441559260699381,3.545606093933559
101.0,14.0,-0.47508760828103297,3.0029683402539717,0.5426054573493019,3.5455737976032737
1.0,15.0,-0.5329694748329009,2.9248819616847404,0.6079945285255864,3.532876490210326
6.0,15.0,-0.4316843696115306,3.045096117098283,0.49893961517596863,3.5440357322742506
11.0,15.0,-0.5221129202765352,2.9394919110679525,0.5958945188007988,3.5353864298687516
26.0,15.0,-0.4372837878306344,3.0400924915766065,0.5045893740089674,3.5446818655855727
61.0,15.0,-0.5225459630115155,2.9552996506003426,0.5919114690624039,3.5472111196627467
76.0,15.0,-0.4675190321104952,3.0102437714973935,0.5350221743135581,3.545265945810952
101.0,15.0,-0.46622451167679096,3.011548845406644,0.5336832700607231,3.545232115467368
1.0,16.0,-0.5235455437127114,2.9371651710696227,0.5975558884459825,3.5347210595156042
6.0,16.0,-0.43179612280612095,3.044985553121943,0.49905220560447694,3.5440377587264185
11.0,16.0,-0.5132301205780672,2.950603112412828,0.5861634045909166,3.536766517003744
26.0,16.0,-0.4364214694122918,3.040809373784811,0.5037228316711722,3.544532205455982
61.0,16.0,-0.5067812131041722,2.9708525586388785,0.5757121508734401,3.546564709512318
76.0,16.0,-0.4602966022627749,3.017251664439535,0.5277482850880705,3.5449999495276034
101.0,16.0,-0.45918851135415645,3.0183656107564643,0.5266028324188657,3.5449684431753306
1.0,17.0,-0.514564996723425,2.9485740310918254,0.5876817343254249,3.536255765417252
6.0,17.0,-0.431884616968079,3.0448979930163365,0.49914136209757143,3.544039355113908
11.0,17.0,-0.5048942663208006,2.960846212387326,0.5770796502169789,3.537925862604304
26.0,17.0,-0.43570330199163954,3.0414163752023065,0.503000732995784,3.54441710819809
61.0,17.0,-0.49362052475893287,2.9838436435630666,0.5622065974223778,3.546050240985444
76.0,17.0,-0.45454640278151026,3.0228343038683043,0.5219576505355011,3.5447919544038045
101.0,17.0,-0.4536045683353326,3.0237792017865446,0.5209850614386025,3.5447642632251473
1.0,18.0,-0.5061155731536051,2.9590854768544204,0.578448069457544,3.537533546311966
6.0,18.0,-0.4319546904881425,3.0448286530583983,0.4992119597273953,3.5440406127857944
11.0,18.0,-0.4971493212265457,2.970222033357427,0.5686776908188581,3.5388997241762845
26.0,18.0,-0.435106715920675,3.041928238704046,0.502400487108951,3.544328725812996
61.0,18.0,-0.48267342205999453,2.994654962920084,0.5509858302471381,3.5456407931672222
76.0,18.0,-0.4499700170721516,3.0272798601795676,0.5173494728830863,3.544629333062652
101.0,18.0,-0.4491743310320647,3.028076950036323,0.5165288321451498,3.5446057821814727
1.0,19.0,-0.49825036717161786,2.968701467550972,0.5698966860000969,3.53859815355107
6.0,19.0,-0.43201017630391847,3.044773743309001,0.49926786040230564,3.5440416037113063
11.0,19.0,-0.4900146198301185,2.9787501690757145,0.5609676239249047,3.53971779300062
26.0,19.0,-0.4346121774251274,3.0423584177069496,0.501902550542026,3.544260968248975
61.0,19.0,-0.4735967973831541,3.0036228997921666,0.5416920499649379,3.5453149497571053
76.0,19.0,-0.44632914983939953,3.0308186139352737,0.5136835935244076,3.544502207459681
101.0,19.0,-0.4456604909839884,3.0314877017260593,0.512994880455854,3.5444825821819133
1.0,20.0,-0.49099513435265346,2.9774430877066282,0.5620426795855595,3.5394857672921893
6.0,20.0,-0.4320541105998703,3.0447302613924854,0.4993121231922564,3.5440423845847433
11.0,20.0,-0.48349053235182626,2.98646398225884,0.5539410635097272,3.540405045768567
26.0,20.0,-0.43420294002178295,3.0427189426225385,0.5014901717142006,3.544209114336739
61.0,20.0,-0.46609264039944187,3.0110400828669848,0.534015582591112,3.5450556654580954
76.0,20.0,-0.4434335892719115,3.0336345057628926,0.5107683422419349,3.544402848004827
101.0,20.0,-0.44287433271959353,3.0341936365011546,0.5101930782805816,3.5443867147817363
