s,t,prices,profits,surplus,welfare
10.0,0.0,-0.41815764907948316,3.0584694282544347,0.48530821450600786,3.5437776427604426
75.0,0.0,-3.0661513427759526,0.5695289006965684,3.26705643406845,3.8365853347650183
1.0,1.0,-0.17569087928901475,0.6423805967052296,0.24344877063716344,0.885829367342393
6.0,1.0,-0.40354460727736596,0.547644903454996,0.47249887395185625,1.0201437774068522
11.0,1.0,-0.1756908777986495,0.6423805982290591,0.24344877073402507,0.8858293689630842
26.0,1.0,-0.9709390883227048,0.018055376234439063,1.021184253989005,1.0392396302234441
61.0,1.0,-0.712849883020809,0.283814631486701,0.8147338622328328,1.0985484937195338
76.0,1.0,-16.786416212860118,-15.78641621286012,16.831370243485022,1.0449540306249023
101.0,1.0,-43.35607092705293,-42.35607092705293,43.55411297864149,1.1980420515885584
1.0,2.0,-0.3204586901244989,0.5598618995901549,0.39404489957306155,0.9539067991632162
6.0,2.0,-0.4129218170751607,1.4469095666905745,0.48109790609047565,1.9280074727810501
11.0,2.0,-0.5861066994175473,0.33367812823930243,0.651322690861155,0.9850008191004576
26.0,2.0,-0.5825531761384165,1.3288583357747832,0.6499738729997837,1.978832208774567
61.0,2.0,-9.724248874484969,-8.726596210483477,9.77787148895631,1.0512752784728312
76.0,2.0,-3.509479164945036,-1.5462353115705103,3.5688542276419772,2.022618916071467
101.0,2.0,-12.744316765287323,-10.791488958694673,12.834273951755712,2.0427849930610384
1.0,3.0,-0.47557845699887513,0.6740140765248867,0.5489186496331496,1.2229327261580363
6.0,3.0,-0.419282123707732,2.0273553792153907,0.48698061578658935,2.514335995001979
11.0,3.0,-1.6298914607867756,-0.21138065872117354,1.6949464834265247,1.4835658247053511
26.0,3.0,-0.4932868302622534,1.9950602219910472,0.5606427567323563,2.555702978723404
61.0,3.0,-2.3040951245185086,-0.3748067823886832,2.3686023216670664,1.993795539278383
76.0,3.0,-1.0520698860164497,1.466369929922252,1.1216102302865332,2.5879801602087844
101.0,3.0,-0.8090824803259863,1.712388469227917,0.8889203438808059,2.6013088131087234
1.0,4.0,-0.8681287517670679,0.6926157213170465,0.9393112268872935,1.631926948204339
6.0,4.0,-0.42369850969162326,2.519119510043289,0.49109772334482515,3.0102172333881145
11.0,4.0,-1.1319580993163345,0.8758628067341401,1.1981457094285113,2.0740085161626505
26.0,4.0,-0.47879445602491616,2.5023042374047093,0.5460743344405007,3.0483785718452108
61.0,4.0,-0.9033855486419125,1.5899893100023479,0.9730368656195252,2.5630261756218724
76.0,4.0,-0.8914085053672711,2.104369289567327,0.9617259116382258,3.066095201205554
101.0,4.0,-0.6241495451029933,2.369303934817225,0.7014331468361757,3.0707370816534008
1.0,5.0,-0.8838823475751222,1.1610886483234029,0.9535602646871973,2.1146489130106008
6.0,5.0,-0.42650883108262505,2.963425275675392,0.4937557252763135,3.457181000951706
11.0,5.0,-0.7728540556161776,1.7734557653383238,0.8400099128387429,2.6134656781770675
26.0,5.0,-0.4708604673723903,2.954874683747003,0.5380251629763075,3.49289984672331
61.0,5.0,-0.7879717004311548,2.1883913888100635,0.8577298617846253,3.046121250594688
76.0,5.0,-0.7804498687944263,2.652146018842531,0.8500970431993836,3.5022430620419134
101.0,5.0,-0.5106582168478788,2.9225115122113947,0.5834486221256301,3.5059601343370255
1.0,6.0,-0.7737227153239762,1.7612667371966195,0.8426055212855794,2.603872258482197
6.0,6.0,-0.4278859379408767,3.039220270768271,0.4951150424881288,3.5343353132564017
11.0,6.0,-0.6187952392350576,2.412911950429419,0.6862720294365604,3.099183979865977
26.0,6.0,-0.4643560841708011,3.015184071227498,0.531517275447038,3.546701346674538
61.0,6.0,-0.7060950642255088,2.7098857254682085,0.7752513381780323,3.4851370636462407
76.0,6.0,-0.7088192568068911,2.7725596417047496,0.7779641161895081,3.5505237578942572
101.0,6.0,-0.47610070024000195,2.9998254485008458,0.546430456886065,3.5462559053869103
1.0,7.0,-0.6710964703351081,2.248286500036906,0.7395240005788513,2.987810500615757
6.0,7.0,-0.42882742502022314,3.0470565648503034,0.49606056458183934,3.5431171294321424
11.0,7.0,-0.5477445443689678,2.751054759590911,0.6152702130292719,3.3663249726201814
26.0,7.0,-0.4589093849690106,3.0236091780686203,0.526081357205647,3.549690535274267
61.0,7.0,-0.6499183792659603,2.826806898395532,0.7186641156362646,3.5454710140317993
76.0,7.0,-0.6524135598654439,2.8312920380774544,0.7211695341283108,3.552461572205765
101.0,7.0,-0.45629051087487044,3.021961475288695,0.525251639885983,3.547213115174677
1.0,8.0,-0.5980344462871822,2.5769405508830645,0.6661655375426166,3.2431060884256793
6.0,8.0,-0.4295563898908846,3.047144908599497,0.49679479268033744,3.5439397012798373
11.0,8.0,-0.5119084263811408,2.8986375832169027,0.5794090397867865,3.478046623003691
26.0,8.0,-0.45431197638660326,3.0271811012885146,0.5214957014595765,3.5486768027480915
61.0,8.0,-0.605501502547273,2.876195901607769,0.6739366233471846,3.5501325249549565
76.0,8.0,-0.6075032320635998,2.874894690307995,0.6759503384913574,3.550845028799353
101.0,8.0,-0.4449761741981781,3.0327917693406192,0.5131744470554169,3.5459662163960353
1.0,9.0,-0.5497710315387002,2.7732456964397474,0.6176952128234845,3.390940909263234
6.0,9.0,-0.4301324649843031,3.0466414568849935,0.4973752200848614,3.544016676969854
11.0,9.0,-0.49126769258067327,2.962448220461064,0.5587271460165172,3.5211753664775807
26.0,9.0,-0.45044442694815534,3.030019263591911,0.517639210091436,3.5476584736833474
61.0,9.0,-0.5701325494184064,2.9109177488660114,0.6383228138957372,3.549240562761748
76.0,9.0,-0.571739481065845,2.909417028541062,0.6399410498098833,3.549358078350944
101.0,9.0,-0.43861127940257766,3.038746234793424,0.5063853095974824,3.545131544390905
1.0,10.0,-0.5180288739557863,2.8837310100641855,0.5858022219725287,3.469533232036716
6.0,10.0,-0.4305888159663651,3.0461954565184004,0.4978350269362478,3.5440304834546468
11.0,10.0,-0.477782787088827,2.992042020134433,0.545202279212512,3.5372442993469435
26.0,10.0,-0.44720933518900763,3.032440436162332,0.5144141489979487,3.5468545851602826
61.0,10.0,-0.5419696466045387,2.938168736734778,0.6099659840683291,3.54813472080311
76.0,10.0,-0.5432618702303502,2.936921067707227,0.6112685267235509,3.5481895944307777
101.0,10.0,-0.43510779028318586,3.042005501811838,0.5026467258531717,3.5446522276650096
1.0,11.0,-0.49657692292574684,2.9448639899069766,0.564237023127452,3.5091010130344276
6.0,11.0,-0.4309503969234776,3.0458384984335884,0.4981993408200518,3.5440378392536407
11.0,11.0,-0.4681184677493693,3.007474076990901,0.5355039674504695,3.5429780444413717
26.0,11.0,-0.4445165937848511,3.0345002798954415,0.5117303062421941,3.546230586137634
61.0,11.0,-0.5195481729657254,2.95985031637657,0.5873909796003468,3.5472412959769186
76.0,11.0,-0.5205887075124223,2.9588408213397197,0.5884408150085592,3.5472816363482793
101.0,11.0,-0.43324160636905906,3.0437321069437924,0.5006508746050612,3.544382981548854
1.0,12.0,-0.4815104372092106,2.9791889210119953,0.5490838444418352,3.5282727654538295
6.0,12.0,-0.4312368794741198,3.0455553981193697,0.4984879838588807,3.5440433819782498
