s,t,prices,profits,surplus,welfare
10.0,0.0,-0.41815764907036435,3.0584694282544347,0.4853082144979858,3.5437776427524206
75.0,0.0,-3.0661513427794773,0.5695289006931673,3.267056434071886,3.8365853347650534
1.0,1.0,-0.7229975417414088,0.0950739342437984,0.8045849234197433,0.8996588576635417
6.0,1.0,-0.40356274239426465,0.5476321798761855,0.472514713164685,1.0201468930408706
11.0,1.0,-31.027127080030073,-30.209055604044867,31.193905996587954,0.9848503925430876
26.0,1.0,-1.891683674324315,-0.896290266326953,1.9369805393604502,1.0406902730334973
61.0,1.0,-31.564286084418903,-30.56762156991151,31.765191088156605,1.1975695182450963
76.0,1.0,-22.06409148588338,-21.064091485883676,22.109678034290933,1.0455865484072575
101.0,1.0,-42.774420620661374,-41.774420620661374,42.97246267224993,1.1980420515885584
1.0,2.0,-0.6382016525598898,1.1064266006622208,0.7435447866511109,1.8499713873133319
6.0,2.0,-0.4129207893334187,1.4469166486204903,0.4810954902016539,1.9280121388221436
11.0,2.0,-6.751806531394761,-4.9422718098538185,6.834694254570802,1.8924224447169835
26.0,2.0,-0.6048910784392713,1.319368561459063,0.6700323644990679,1.9894009259581307
61.0,2.0,-7.2508521396045955,-5.275396208881306,7.365444579248829,2.0900483703675223
76.0,2.0,-1.2994651141150553,0.6619229750055609,1.3617994394049737,2.0237224144105346
101.0,2.0,-11.758064920359244,-9.79287298492874,11.847887734143363,2.0550147492146222
1.0,3.0,-0.6190615223645506,1.6909216501244226,0.7260511963062134,2.416972846430636
6.0,3.0,-0.41924144363631904,2.0273959003190214,0.4869386472911517,2.514334547610175
11.0,3.0,-0.762319225543026,1.6106442165419474,0.8649734837148628,2.4756177002568105
26.0,3.0,-0.4957454008001954,2.0008672535247634,0.5622860745829811,2.563153328107744
61.0,3.0,-1.2259557224345565,1.301156212132414,1.3580651314712524,2.659221343603666
76.0,3.0,-1.0327781480652791,1.4841755511107795,1.102456274107464,2.586631825218243
101.0,3.0,-1.0735402385047734,1.4582727059611555,1.1544803408039974,2.6127530467651527
1.0,4.0,-0.6409176076774961,2.1553937517136945,0.7494990831392324,2.9048928348529275
6.0,4.0,-0.4236364461181445,2.51917809249706,0.49103390745304715,3.0102119999501076
11.0,4.0,-0.7093229612716057,2.1516842139261447,0.8144461690092811,2.9661303829354257
26.0,4.0,-0.47384934280697705,2.515301417541844,0.5403817574182622,3.0556831749601066
61.0,4.0,-1.1400627528038585,1.8641555154848726,1.2725511607105109,3.1367066761953835
76.0,4.0,-0.8737928331893066,2.124970268480391,0.943151745188014,3.068122013668405
101.0,4.0,-0.902634291241894,2.1062313428777535,0.9791215003957746,3.085352843273528
1.0,5.0,-0.6729990589517618,2.5639391479300397,0.7832371454326277,3.3471762933626685
6.0,5.0,-0.4264339883966886,2.9634938333611567,0.49367875164023234,3.45717258500139
11.0,5.0,-0.7322966623538103,2.568632118440773,0.8399085008139523,3.408540619254726
26.0,5.0,-0.4680553463639586,2.9654723153377542,0.5346157783042932,3.500088093642048
61.0,5.0,-1.132473888924435,2.3015046340241114,1.265509266525245,3.567013900549357
76.0,5.0,-0.7845474516421111,2.6512792636543026,0.8535571904657718,3.5048364541200745
101.0,5.0,-0.7807127433118458,2.6641042678329563,0.8534106087752247,3.517514876608181
1.0,6.0,-0.7017642588433719,2.6302919693257207,0.8137533373210724,3.444045306646793
6.0,6.0,-0.42780099063438976,3.039296978478345,0.49502767220664246,3.534324650684985
11.0,6.0,-0.7522269602404715,2.604421869408424,0.8622027032564213,3.4666245726648452
26.0,6.0,-0.46257357316720976,3.0198219622714593,0.5292575628439834,3.5490795251154426
61.0,6.0,-1.1240101484896936,2.3562480574202422,1.2576055375540907,3.613853594974333
76.0,6.0,-0.7128041711988421,2.7713550806053493,0.781583167952104,3.5529382485574517
101.0,6.0,-0.7093448719045883,2.776796209553362,0.7799428192548873,3.556739028808249
1.0,7.0,-0.7282029672425862,2.624130440037336,0.8418611973615253,3.46599163739886
6.0,7.0,-0.4287341630718845,3.0471406424210308,0.49596465343620594,3.543105295857239
11.0,7.0,-0.770693739794734,2.5955897370887384,0.8827993991073821,3.4783891361961206
26.0,7.0,-0.4576115654256007,3.0264806275815075,0.5244095957317016,3.5508902233132105
61.0,7.0,-1.1160975507831845,2.3650247649651983,1.2501469558618692,3.6151717208270675
76.0,7.0,-0.6555959382379246,2.830033594543792,0.7241691902970024,3.5542027848407947
101.0,7.0,-0.6525297464669143,2.8339134418656866,0.7219125078379268,3.555825949703614
1.0,8.0,-0.752723972395458,2.6090386405740014,0.8679386149091186,3.4769772554831206
6.0,8.0,-0.42945629193668194,3.047235235317178,0.4966918706062554,3.543927105923435
11.0,8.0,-0.7881270591692473,2.5836932021743912,0.9021449442741625,3.485838146448555
26.0,8.0,-0.45329567590078745,3.0293431058873397,0.5201887311925208,3.549531837079862
61.0,8.0,-1.1090232062507785,2.3694876582723974,1.2434278480936467,3.612915506366044
76.0,8.0,-0.6101310459136061,2.8736442193342864,0.6785231437802753,3.5521673631145636
101.0,8.0,-0.607281632477199,2.876932451443188,0.675940175857974,3.5528726273011624
1.0,9.0,-0.7754986444008737,2.593960745711232,0.8921598845652337,3.4861206302764645
6.0,9.0,-0.4300267586598105,3.046736931441419,0.49726655523361873,3.544003486675038
11.0,9.0,-0.8047433963235718,2.572339735176133,0.920484043142859,3.492823778318992
26.0,9.0,-0.44961322046734997,3.0317107456662753,0.5165842518570223,3.548294997523295
61.0,9.0,-1.1028707879206237,2.3733328582007576,1.2375516765161025,3.610884534716861
76.0,9.0,-0.5740429256485959,2.908106984599469,0.6422815257588338,3.5503885103582995
101.0,9.0,-0.5712775507963868,2.911129047812182,0.6394917894017351,3.5506208372139176
1.0,10.0,-0.7966554946870131,2.579847554440673,0.9146607381664488,3.4945082926071196
6.0,10.0,-0.43047851045127017,3.046295156913302,0.4977216604111129,3.544016817324415
11.0,10.0,-0.820649074766658,2.5616751115482588,0.937948018747343,3.4996231302956025
26.0,10.0,-0.4465144983501338,3.0337793634260795,0.5135491184097979,3.547328481835878
61.0,10.0,-1.097623237380953,2.3767885004716707,1.2325185437034494,3.6093070441751203
76.0,10.0,-0.5454114081948422,2.9354904141011846,0.6135232866177214,3.5490137007189055
101.0,10.0,-0.5426486040137852,2.9384135021790505,0.610581400702979,3.5489949028820273
1.0,11.0,-0.8163101897164345,2.5667269106629593,0.9355640668789301,3.50229097754189
6.0,11.0,-0.43083632559281254,3.045941661883255,0.49808213105198473,3.5440237929352376
11.0,11.0,-0.8358916443539921,2.5515951125163765,0.9546053400381493,3.506200452554525
26.0,11.0,-0.4439351991545466,3.035561170636949,0.5110214464499323,3.5465826170868815
61.0,11.0,-1.093213476968103,2.379826882812705,1.228275008721077,3.608101891533782
76.0,11.0,-0.5227001636035908,2.957249316302633,0.5907091417915111,3.5479584580941452
101.0,11.0,-0.5198979297335733,2.960159630013656,0.5876462827363832,3.5478059127500394
1.0,12.0,-0.8345696824974228,2.5545371233757765,0.9549835879130713,3.509520711288847
6.0,12.0,-0.4311197342549879,3.045661389900436,0.4983676423728281,3.5440290322732655
11.0,12.0,-0.8504872586827166,2.5420227289088344,0.9704896190662844,3.512512347975119
26.0,12.0,-0.4418070163757871,3.037073024750166,0.5089350326070353,3.5460080573572013
61.0,12.0,-1.089551166003238,2.382442083427109,1.224741423688492,3.607183507115601
76.0,12.0,-0.5046867007545417,2.9745336405568787,0.5726130053430806,3.547146645899959
101.0,12.0,-0.5018285929840056,2.9774710608883517,0.5694519017212193,3.5469229626095715
1.0,13.0,-0.8515331996068684,2.543212693662067,0.9730248165818354,3.516237510243901
6.0,13.0,-0.4313442064724426,3.0454393576219863,0.4985937800336205,3.544033137655606
11.0,13.0,-0.8644371815505922,2.5329135994930105,0.9856167647667001,3.5185303642597106
26.0,13.0,-0.44006364088688205,3.0383405035511273,0.5072253550026811,3.545565858553809
61.0,13.0,-1.0865386301674766,2.3846557845469714,1.2218284738164706,3.6064842583634427
76.0,13.0,-0.490400418119545,2.9882599674048658,0.5582607578091233,3.546520725213989
101.0,13.0,-0.48748457774253356,2.9912389667832793,0.5550203875755432,3.5462593543588223
1.0,14.0,-0.8672928513903677,2.532692107579375,0.9897857057877655,3.5224778133671406
6.0,14.0,-0.4315220002550338,3.0452634741463367,0.49877289350173115,3.544036367648068
11.0,14.0,-0.8777376759226614,2.5242435439527124,0.9999954035867596,3.524238947539472
26.0,14.0,-0.43864399798661624,3.039392974346395,0.5058328372124767,3.5452258115588693
61.0,14.0,-1.0840802143311403,2.386505163294788,1.219447027836951,3.6059521911317387
76.0,14.0,-0.4790712592748496,2.9991581842453385,0.5468792040321596,3.546037388277499
101.0,14.0,-0.47610305629375654,3.0021802953831975,0.54357591815138,3.5457562135345757
1.0,15.0,-0.8819341617369991,2.522918208596848,1.0053572071122148,3.5282754157090634
6.0,15.0,-0.4316628274952483,3.0451241439549106,0.49891476697346093,3.544038910928372
11.0,15.0,-0.8903856232601283,2.515999242458856,1.0136329257603482,3.5296321682192047
26.0,15.0,-0.4374937432547797,3.0402601575702635,0.5047043779329412,3.5449645355032033
61.0,15.0,-1.0820874037861992,2.3880339037450096,1.2175136545363232,3.6055475582813323
76.0,15.0,-0.47008830929993556,3.007809020606054,0.5378547614174162,3.5456637820234693
101.0,15.0,-0.46707590759806494,3.010869933634619,0.534502430919406,3.545372364554025
1.0,16.0,-0.8955365512387732,2.513837930086857,1.0198237834318713,3.5336617135187285
6.0,16.0,-0.43177438183352845,3.045013763546171,0.4990271512568409,3.5440409148030136
11.0,16.0,-0.902381413770658,2.5081723598627113,1.026538717371106,3.5347110772338177
26.0,16.0,-0.4365656853570068,3.0409701435569416,0.5037938089248877,3.544763952481829
61.0,16.0,-1.080481251741981,2.389286630016659,1.215953362664955,3.6052399926816143
76.0,16.0,-0.4629668178168047,3.0146743424386773,0.5307004754683065,3.545374817906985
101.0,16.0,-0.45991875319168624,3.0177677231951607,0.5273105391259048,3.5450782623210655
1.0,17.0,-0.9081737812173207,2.505401998064438,1.0332638803383298,3.538665878402768
6.0,17.0,-0.43186275735480506,3.0449263093034435,0.4991161856429964,3.54404249494644
11.0,17.0,-0.9137301389001526,2.5007560588688844,1.0387256263802103,3.5394816852490947
26.0,17.0,-0.4358195788605528,3.0415483754493837,0.5030617213486526,3.5446100967980367
61.0,17.0,-1.0791931418965062,2.3903057064281152,1.2147006097314055,3.6050063161595203
76.0,17.0,-0.45732206552127913,3.020121407301948,0.5250298371352782,3.545151244437226
101.0,17.0,-0.4542460813872144,3.023240800750505,0.5216114639997104,3.544852264750215
1.0,18.0,-0.9199143629367927,2.497564654020988,1.0457503607965077,3.543315014817496
6.0,18.0,-0.4319327806343093,3.0448570097721745,0.4991867324588934,3.5440437422310693
11.0,18.0,-0.9244417704029627,2.493743073334938,1.0502103606773636,3.543953434012301
26.0,18.0,-0.4352215758529759,3.0420172405218047,0.5024749478167335,3.544492188338538
61.0,18.0,-1.078164568090723,2.391129577416088,1.2136992752622644,3.604828852678353
76.0,18.0,-0.45284868243021215,3.0244422003350557,0.5205360390370708,3.544978239372127
101.0,18.0,-0.44975129084303345,3.0275818659542173,0.5170963991096694,3.5446782650638875
1.0,19.0,-0.9308219354509081,2.4902833995489133,1.0573509066256963,3.54763430617461
6.0,19.0,-0.43198827400606254,3.0448020857285205,0.49924264231588167,3.5440447280444043
11.0,19.0,-0.9345307728772044,2.487124771362389,1.0610132761032307,3.5481380474656206
26.0,19.0,-0.4347435200768322,3.0423960292076075,0.5020058832904727,3.5444019124980803
61.0,19.0,-1.0773463757678974,2.391792078328342,1.212902054173953,3.604694132502296
76.0,19.0,-0.44930427521407834,3.0278688228653237,0.5169755415069626,3.5448443643722842
101.0,19.0,-0.4461907016564037,3.0310240062989666,0.5135201276595213,3.5445441339584876
1.0,20.0,-0.9409556149970694,2.483518760831781,1.0681283898449405,3.5516471506767218
6.0,20.0,-0.43203226425648295,3.0447585440974767,0.49928696436769304,3.54404550846517
11.0,20.0,-0.9440154353335515,2.480890825455014,1.0711578488879887,3.552048674343002
26.0,20.0,-0.4343621966358344,3.0427011034384894,0.5016317578001822,3.5443328612386713
61.0,20.0,-1.0766977487956764,2.3923223357083625,1.2122695625625484,3.604591898270911
76.0,20.0,-0.446496453302597,3.030585735024752,0.5141550438546441,3.544740778879396
101.0,20.0,-0.4433707610496057,3.03375266462021,0.5106879947764797,3.5444406593966895
