s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
1.0,1.0,0.05759502637621661,0.6335452901383827,0.0,0.0,0.3664547098616172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.0,0.06150752742970691,0.0,0.676582801726776,0.0,0.0,0.32341719827322396,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.0,0.07573426431209164,0.0,0.0,0.833076907433008,0.0,0.0,0.16692309256699206,0.0,0.0,0.0,0.0,0.0
16.0,1.0,0.10568604516385643,0.0,0.0,0.0,0.7960917869408038,0.0,0.0,0.20390821305919615,0.0,0.0,0.0,0.0
36.0,1.0,0.10240688710619456,0.0,0.0,0.0,0.0,0.8030585598949161,0.0,0.0,0.19694144010508374,0.0,0.0,0.0
66.0,1.0,0.09515760309151117,0.0,0.0,0.0,0.0,0.0,0.8798105414396308,0.0,0.0,0.0,0.1201894585603692,0.0
96.0,1.0,0.10944620118719964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111.0,1.0,0.10881285819137125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
136.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151.0,1.0,0.10183540532366991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,0.023132537894570152,0.2544579168402717,0.0,0.0,0.5675936942465095,0.0,0.0,0.1779483889132188,0.0,0.0,0.0,0.0
6.0,3.0,0.028167967733095264,0.0,0.3098476450640479,0.0,0.0,0.5354966688699747,0.0,0.0,0.15465568606597738,0.0,0.0,0.0
11.0,3.0,0.05256474868202637,0.0,0.0,0.5782122355022901,0.0,0.0,0.36740596576086976,0.0,0.0,0.0,0.0543817987368402,0.0
16.0,3.0,0.09745829671930667,0.0,0.0,0.0,0.5044475696658637,0.0,0.0,0.4955524303341363,0.0,0.0,0.0,0.0
36.0,3.0,0.09575708981674258,0.0,0.0,0.0,0.0,0.5178313191141936,0.0,0.0,0.4821686808858064,0.0,0.0,0.0
66.0,3.0,0.09532547413405212,0.0,0.0,0.0,0.0,0.0,0.6811742497137036,0.0,0.0,0.0,0.31882575028629645,0.0
96.0,3.0,0.15213643811339594,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0
111.0,3.0,0.1488022151774349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
136.0,3.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151.0,3.0,0.12483704991119424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
176.0,3.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,5.0,0.009295739962692354,0.10225313958961589,0.0,0.0,0.49739335642160676,0.0,0.0,0.4003535039887772,0.0,0.0,0.0,0.0
