s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7
1.0,1.0,0.06899473910065197,0.48296317370456376,0.12164504050353839,0.32429016679263617,0.0711016189992617,0.0,0.0,0.0
6.0,1.0,0.10755324286513283,0.0,0.6312276595523916,0.0,0.36877234044760854,0.0,0.0,0.0
11.0,1.0,0.1325231262370336,0.0,0.0,0.6033717168665992,0.16240568607401687,0.18535998341559778,0.04886261364378622,0.0
31.0,1.0,0.19585841749420368,0.0,0.0,0.0,0.7687292769385385,0.0,0.2312707230614614,0.0
61.0,1.0,0.16933714048794254,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76.0,1.0,0.1828761909578925,0.0,0.0,0.0,0.0,0.0,1.0,0.0
101.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,0.016127001395084533,0.11288900976559174,0.11399164543842931,0.28380640910577887,0.2838189748765266,0.11379590017053384,0.09169806064313962,0.0
6.0,3.0,0.05224272372799859,0.0,0.25170742065756085,0.0,0.5554932314909458,0.0,0.19279934785149352,0.0
11.0,3.0,0.07184031934615198,0.0,0.0,0.21907582631728495,0.23094385409681184,0.3644439807483575,0.18553633883754586,0.0
31.0,3.0,0.21778290015403526,0.0,0.0,0.0,0.4542242406139626,0.0,0.5457757593860374,0.0
61.0,3.0,0.21117712584555587,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0
76.0,3.0,0.287972786674031,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
101.0,3.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,5.0,0.00377311305809892,0.02641179140669244,0.06077717370435046,0.14004457537639065,0.3283968850790751,0.1964351159993078,0.24793445843418355,0.0
6.0,5.0,0.02302463582675757,0.0,0.10039527708295254,0.0,0.47251347903882734,0.0,0.4270912438782203,0.0
11.0,5.0,0.03135162927808682,0.0,0.0,0.07941682957021712,0.1855609484099485,0.4294071793471224,0.3056150426727121,0.0
31.0,5.0,0.17926246252355477,0.0,0.0,0.0,0.26836592513703234,0.0,0.7316340748629676,0.0
61.0,5.0,0.23226318504949003,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0
76.0,5.0,0.3874678314068691,0.0,0.0,0.0,0.0,0.0,1.0,0.0
101.0,5.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,10.0,9.997143223840046e-5,0.0006998000256688032,0.007714921840114487,0.014180305487017644,0.16565433345535205,0.25578593416991513,0.555964705021932,0.0
6.0,10.0,0.0025432494924579373,0.0,0.010087824607091074,0.0,0.18785858351086598,0.0,0.8020535918820431,0.0
11.0,10.0,0.0029210841975048354,0.0,0.0,0.006267283895516203,0.06453682214875817,0.4633995261210322,0.4657963678346937,0.0
31.0,10.0,0.07000572461960937,0.0,0.0,0.0,0.07199033322228925,0.0,0.9280096667777109,0.0
61.0,10.0,0.2455979228987068,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0
76.0,10.0,0.53597490450234,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
101.0,10.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
1.0,30.0,4.9290142122853604e-11,3.450309948599752e-10,8.448855316557406e-7,5.169133291631554e-7,0.001654165192268015,0.2619228046185267,0.7364216680453136,0.0
6.0,30.0,2.676057972128325e-7,0.0,1.0283550488340866e-6,0.0,0.0017538882789730644,0.0,0.9982450833659784,0.0
11.0,30.0,1.0835777815535661e-7,0.0,0.0,2.415911179243412e-7,0.0003653435422111817,0.46630973939114767,0.5333246754755236,0.0
31.0,30.0,0.0005922514963681727,0.0,0.0,0.0,0.00037236346112494786,0.0,0.9996276365388752,0.0
61.0,30.0,0.24689036342995352,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0
76.0,30.0,0.6096598662036701,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
101.0,30.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
1.0,100.0,4.1481871953466144e-33,2.9037310367426303e-32,9.039684845353044e-21,1.2736402825134625e-22,1.5243406974784898e-10,0.2619230261643342,0.7380769736832318,0.0
6.0,100.0,2.8626669685997745e-21,0.0,1.0998983934845377e-20,0.0,1.611291022700934e-10,0.0,0.9999999998388713,0.0
11.0,100.0,3.044853596440293e-23,0.0,0.0,8.577572349947425e-23,3.6334414820277535e-12,0.46630985155548527,0.5336901484408816,0.0
31.0,100.0,4.5842503700457826e-11,0.0,0.0,0.0,3.70091240323466e-12,0.0,0.9999999999962993,0.0
61.0,100.0,0.2468904111028314,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0
76.0,100.0,0.6102524459941835,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
101.0,100.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
