s,t,pr_s1,q1,q2,q3
1.0,1.0,0.3905884749561299,0.9406323005866714,0.059367699413328714,0.0
6.0,1.0,0.3439439998931164,0.23113312428171826,0.7278793677891559,0.04098750792912594
26.0,1.0,0.2654675251507537,0.0,0.24458493247686472,0.7554150675231353
1.0,3.0,0.4389217933085468,0.8443234067518083,0.15517213498761234,0.0005044582605795199
6.0,3.0,0.39317747031264166,0.4724419731738321,0.45967184054336085,0.06788618628280715
26.0,3.0,0.16790073637881164,0.0,0.5646884354069518,0.4353115645930482
1.0,5.0,0.43767937688908626,0.757948628879545,0.24131178286061955,0.000739588259835595
6.0,5.0,0.4552169043970867,0.5550895017877139,0.38030934930308335,0.0646011489092029
26.0,5.0,0.10710371871382714,0.0,0.7440295810275572,0.2559704189724429
1.0,10.0,0.36527506482801847,0.5776279576849238,0.4213479816405714,0.0010240606745047709
6.0,10.0,0.593446479235047,0.5181972367991314,0.44017573020397727,0.041627032996891494
26.0,10.0,0.041278455936934695,0.0,0.9188157258605925,0.08118427413940785
1.0,30.0,0.12579244556973235,0.19398427201528232,0.8039496368996576,0.002066091085059508
6.0,30.0,0.8510720679995742,0.18339306469391475,0.7771757123153974,0.03943122299068767
26.0,30.0,0.02313548643069324,0.0,0.9720908547836675,0.027909145216332542
1.0,100.0,0.002757829008409301,0.004252559513120196,0.992088594664942,0.003658845821935695
6.0,100.0,0.9704429278754382,0.004020927512107706,0.9479356780756686,0.04804339441222191
26.0,100.0,0.026799243116150687,0.0,0.971304510885704,0.02869548911429446
