s,t,pr_s1,q1,q2,q3
1.0,1.0,0.2593276820303481,0.7779830460910444,0.22201695390895565,0.0
6.0,1.0,0.36417675614282774,0.0,0.8705133145195276,0.12948668548047226
26.0,1.0,0.37649556182682414,0.0,0.0,1.0
1.0,3.0,0.15700100802644779,0.47100302407934336,0.45494766603864567,0.07404930988201097
6.0,3.0,0.3714625005176084,0.0,0.6594398355141792,0.3405601644858207
26.0,3.0,0.4715364914559439,0.0,0.0,1.0000000000000002
1.0,5.0,0.09507541764023832,0.28522625292071496,0.5203848372443911,0.19438890983489393
6.0,5.0,0.3399138675653606,0.0,0.4993567654516907,0.5006432345483092
26.0,5.0,0.5650107147944011,0.0,0.0,1.0000000000000002
1.0,10.0,0.027149601780491677,0.08144880534147503,0.41426374180550174,0.5042874528530233
6.0,10.0,0.2210515455911991,0.0,0.2488908949680955,0.7511091050319043
26.0,10.0,0.7517988526283093,0.0,0.0,1.0000000000000004
1.0,30.0,0.0001808884710947317,0.0005426654132841951,0.03988732283912537,0.9595700117475908
6.0,30.0,0.018387493445082326,0.0,0.015275157496121605,0.9847248425038784
26.0,30.0,0.9814316180838233,0.0,0.0,1.0000000000000004
1.0,100.0,4.369828346387279e-12,1.3109485039161836e-11,3.6544072207201026e-6,0.9999963455796702
6.0,100.0,1.50844924372743e-6,0.0,8.709405104621875e-7,0.9999991290594896
26.0,100.0,0.9999984915463869,0.0,0.0,1.0000000000000007
