s,t,pr_s1,q1,q2,q3
1.0,1.0,0.2995509461440989,0.8986528384322967,0.10134716156770332,0.0
6.0,1.0,0.3463166781929217,0.0,0.9376028730110619,0.06239712698893812
26.0,1.0,0.35413237566297945,0.0,0.0,1.0
1.0,3.0,0.24206629889073236,0.7261988966721971,0.25726801507711555,0.016533088250687597
6.0,3.0,0.3605042004269811,0.0,0.8242445862038277,0.17575541379617243
26.0,3.0,0.3974295006822866,0.0,0.0,1.0
1.0,5.0,0.19567777290440777,0.5870333187132233,0.3635558512182533,0.049410830068523696
6.0,5.0,0.3627154671392701,0.0,0.7245905501995572,0.27540944980044285
26.0,5.0,0.4416067599563222,0.0,0.0,0.9999999999999999
1.0,10.0,0.1149860235922373,0.34495807077671187,0.48384331176389744,0.17119861745939086
6.0,10.0,0.33629058196431294,0.0,0.5250284341290413,0.4749715658709588
26.0,10.0,0.5487233944434499,0.0,0.0,0.9999999999999998
1.0,30.0,0.013711453809659475,0.04113436142897842,0.2996699873441676,0.659195651226854
6.0,30.0,0.1481313550372735,0.0,0.14472407776765292,0.8552759222323472
26.0,30.0,0.8381571911530669,0.0,0.0,0.9999999999999998
1.0,100.0,8.028199457263753e-6,2.408459837179126e-5,0.006724877435348816,0.993251037966279
6.0,100.0,0.0027721093514239212,0.0,0.0015914506189229486,0.9984085493810771
26.0,100.0,0.9972198624491186,0.0,0.0,0.9999999999999998
